Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

08:27:48 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:27:49 AM     all     20.15      0.00      5.80      0.01      0.00     74.04
08:27:50 AM     all     95.23      0.00      1.02      0.00      0.00      3.76
08:27:51 AM     all     88.46      0.00      1.28      0.00      0.00     10.26
08:27:52 AM     all     80.53      0.00      1.84      0.00      0.00     17.62
08:27:53 AM     all     93.19      0.00      1.41      0.00      0.00      5.40
08:27:54 AM     all     70.08      0.00      4.96      0.00      0.00     24.96
08:27:55 AM     all     93.54      0.00      0.83      0.00      0.00      5.63
08:27:56 AM     all     71.29      0.00      0.89      0.00      0.00     27.82
08:27:57 AM     all     94.70      0.00      0.89      0.00      0.00      4.41
08:27:58 AM     all     86.63      0.00      1.57      0.00      0.00     11.80
08:27:59 AM     all     84.83      0.00      2.79      0.00      0.00     12.38
08:28:00 AM     all     87.32      0.00      3.65      0.00      0.00      9.03
08:28:01 AM     all     83.19      0.00      1.50      0.00      0.00     15.31
08:28:02 AM     all     94.15      0.00      0.94      0.00      0.00      4.91
08:28:03 AM     all     75.08      0.00      1.31      0.00      0.00     23.61
08:28:04 AM     all     90.79      0.00      1.21      0.00      0.00      8.00
08:28:05 AM     all     77.46      0.00      3.26      0.00      0.00     19.28
08:28:06 AM     all     92.34      0.00      3.20      0.00      0.00      4.46
08:28:07 AM     all     84.02      0.00      1.10      0.00      0.00     14.88
08:28:08 AM     all     85.90      0.00      1.29      0.00      0.00     12.81
08:28:09 AM     all     88.11      0.00      0.89      0.01      0.00     10.98
08:28:10 AM     all     80.03      0.00      1.21      0.00      0.00     18.76
08:28:11 AM     all     88.38      0.00      3.20      0.00      0.00      8.42
08:28:12 AM     all     75.82      0.00      2.58      0.00      0.00     21.60
08:28:13 AM     all     95.58      0.00      0.76      0.00      0.00      3.66
08:28:14 AM     all     87.34      0.00      1.29      0.00      0.00     11.37
08:28:15 AM     all     84.59      0.00      1.45      0.00      0.00     13.96
08:28:16 AM     all     90.25      0.00      0.96      0.00      0.00      8.79
08:28:17 AM     all     75.03      0.00      4.19      0.00      0.00     20.78
08:28:18 AM     all     95.44      0.00      0.98      0.00      0.00      3.57
08:28:19 AM     all     76.99      0.00      1.49      0.00      0.00     21.52
08:28:20 AM     all     91.24      0.00      0.55      0.00      0.00      8.21
08:28:21 AM     all     80.10      0.00      0.70      0.00      0.00     19.20
08:28:22 AM     all     92.66      0.00      1.62      0.00      0.00      5.72
08:28:23 AM     all     87.54      0.00      4.90      0.00      0.00      7.56
08:28:24 AM     all     84.17      0.00      2.06      0.00      0.00     13.78
08:28:26 AM     all     90.50      0.00      0.47      0.00      0.00      9.03
08:28:27 AM     all     75.63      0.00      0.90      0.00      0.00     23.47
08:28:28 AM     all     93.69      0.00      0.85      0.00      0.00      5.47
08:28:29 AM     all     78.02      0.00      1.33      0.00      0.00     20.66
08:28:30 AM     all     93.14      0.00      4.45      0.00      0.00      2.41
08:28:31 AM     all     86.98      0.00      0.65      0.01      0.00     12.36
08:28:32 AM     all     90.41      0.00      0.94      0.00      0.00      8.64
08:28:33 AM     all     94.07      0.00      0.61      0.00      0.00      5.32
08:28:34 AM     all     71.21      0.00      0.97      0.00      0.00     27.82
08:28:35 AM     all     94.07      0.00      0.69      0.00      0.00      5.24
08:28:36 AM     all     61.87      0.00      4.63      0.00      0.00     33.50
08:28:37 AM     all      0.58      0.00     58.01      0.00      0.00     41.41
08:28:38 AM     all      0.18      0.00     67.08      0.00      0.00     32.74
08:28:39 AM     all     18.33      0.00      7.80      0.00      0.00     73.87
08:28:40 AM     all     91.77      0.00      0.99      0.00      0.00      7.25
08:28:41 AM     all     85.15      0.00      2.65      0.00      0.00     12.20
08:28:42 AM     all     90.15      0.00      4.33      0.00      0.00      5.51
08:28:43 AM     all     82.91      0.00      1.08      0.00      0.00     16.01
08:28:44 AM     all     92.10      0.00      0.71      0.00      0.00      7.19
08:28:45 AM     all     87.84      0.00      0.70      0.00      0.00     11.46
08:28:46 AM     all     86.44      0.00      1.15      0.00      0.00     12.42
08:28:47 AM     all     92.83      0.00      2.11      0.00      0.00      5.06
08:28:48 AM     all     75.95      0.00      4.40      0.00      0.00     19.65
08:28:49 AM     all     93.09      0.00      1.03      0.00      0.00      5.88
08:28:50 AM     all     78.86      0.00      0.96      0.00      0.00     20.18
08:28:51 AM     all     84.58      0.00      1.59      0.00      0.00     13.84
08:28:52 AM     all     88.97      0.00      0.82      0.00      0.00     10.21
08:28:53 AM     all     77.12      0.00      3.10      0.00      0.00     19.78
08:28:54 AM     all     89.75      0.00      3.53      0.00      0.00      6.72
08:28:55 AM     all     82.50      0.00      1.03      0.00      0.00     16.47
