Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

02:43:51 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:43:52 PM     all      0.43      0.00     61.86      0.00      0.00     37.71
02:43:53 PM     all      2.09      0.00      0.57      0.00      0.00     97.34
02:43:54 PM     all      4.21      0.00      0.98      0.00      0.00     94.82
02:43:55 PM     all      3.67      0.00      0.70      0.00      0.00     95.63
02:43:56 PM     all      4.78      0.00      2.17      0.13      0.00     92.93
02:43:57 PM     all      7.93      0.00      2.68      0.00      0.00     89.39
02:43:58 PM     all     12.06      0.00      1.27      0.00      0.00     86.67
02:43:59 PM     all     13.06      0.00      0.88      0.00      0.00     86.06
02:44:00 PM     all      7.24      0.00      0.96      0.01      0.00     91.78
02:44:01 PM     all      9.70      0.00      1.25      0.18      0.00     88.87
02:44:02 PM     all     12.24      0.00      4.82      0.00      0.00     82.95
02:44:03 PM     all     10.73      0.00      1.52      0.00      0.00     87.75
02:44:04 PM     all      9.94      0.00      2.16      0.00      0.00     87.90
02:44:05 PM     all      9.68      0.00      1.42      0.01      0.00     88.88
02:44:06 PM     all     10.18      0.00      1.40      0.00      0.00     88.41
02:44:07 PM     all     10.94      0.00      4.27      0.00      0.00     84.79
02:44:08 PM     all      9.95      0.00      1.32      0.01      0.00     88.71
02:44:09 PM     all     10.92      0.00      1.72      0.01      0.00     87.34
02:44:10 PM     all      9.54      0.00      1.06      0.01      0.00     89.38
02:44:11 PM     all      9.41      0.00      1.04      0.00      0.00     89.55
02:44:12 PM     all      8.82      0.00      1.16      0.03      0.00     89.99
02:44:13 PM     all     10.69      0.00      3.21      0.00      0.00     86.09
02:44:14 PM     all      9.52      0.00      0.97      0.00      0.00     89.51
02:44:15 PM     all      9.46      0.00      1.10      0.01      0.00     89.43
02:44:16 PM     all      9.37      0.00      0.85      0.00      0.00     89.78
02:44:17 PM     all      9.37      0.00      0.75      0.06      0.00     89.83
02:44:18 PM     all     10.90      0.00      3.39      0.00      0.00     85.71
02:44:19 PM     all      9.48      0.00      0.88      0.00      0.00     89.64
02:44:20 PM     all      0.96      0.00     51.74      0.03      0.00     47.28
02:44:21 PM     all      0.19      0.00     66.97      0.00      0.00     32.83
02:44:22 PM     all      1.57      0.00     15.50      0.00      0.00     82.93
