Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

02:47:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:47:45 PM     all      0.26      0.00      0.04      0.00      0.00     99.69
02:47:46 PM     all      0.90      0.00     51.51      0.03      0.00     47.56
02:47:47 PM     all      0.39      0.00     67.32      0.00      0.00     32.29
02:47:48 PM     all      3.15      0.00     19.31      0.00      0.00     77.54
02:47:49 PM     all      2.82      0.00      0.45      0.00      0.00     96.73
02:47:50 PM     all      3.61      0.00      0.52      0.00      0.00     95.88
02:47:51 PM     all      4.17      0.00      0.61      0.01      0.00     95.20
02:47:52 PM     all      4.83      0.00      0.39      0.00      0.00     94.78
02:47:53 PM     all      6.54      0.00      0.70      0.17      0.00     92.59
02:47:54 PM     all      7.12      0.00      3.37      0.03      0.00     89.48
02:47:55 PM     all      4.42      0.00      0.46      0.00      0.00     95.12
02:47:56 PM     all      5.77      0.00      0.60      0.01      0.00     93.62
02:47:57 PM     all      4.18      0.00      0.46      0.00      0.00     95.36
02:47:58 PM     all      4.29      0.00      0.57      0.10      0.00     95.04
02:47:59 PM     all      4.96      0.00      3.45      0.07      0.00     91.52
02:48:00 PM     all      2.02      0.00     31.02      0.00      0.00     66.96
02:48:01 PM     all      0.45      0.00     67.74      0.03      0.00     31.79
02:48:02 PM     all      1.16      0.00     41.21      0.00      0.00     57.63
02:48:03 PM     all      2.25      0.00      0.65      0.00      0.00     97.09
02:48:04 PM     all      5.28      0.00      3.05      0.15      0.00     91.51
02:48:05 PM     all      3.00      0.00      1.24      0.00      0.00     95.76
02:48:06 PM     all      6.64      0.00      0.57      0.00      0.00     92.79
02:48:07 PM     all      5.38      0.00      0.32      0.00      0.00     94.30
02:48:08 PM     all      5.16      0.00      0.60      0.00      0.00     94.24
02:48:09 PM     all      5.14      0.00      0.70      0.11      0.00     94.06
02:48:10 PM     all      6.21      0.00      3.36      0.00      0.00     90.43
02:48:11 PM     all      4.56      0.00      0.58      0.01      0.00     94.84
02:48:12 PM     all      4.79      0.00      0.47      0.00      0.00     94.74
02:48:13 PM     all      3.53      0.00      0.54      0.00      0.00     95.92
02:48:14 PM     all      3.50      0.00      1.55      0.06      0.00     94.90
02:48:15 PM     all      1.54      0.00     69.42      0.00      0.00     29.04
02:48:16 PM     all      1.90      0.00     70.35      0.01      0.00     27.74
02:48:17 PM     all      1.93      0.00      3.22      0.00      0.00     94.85
02:48:18 PM     all      3.93      0.00      0.64      0.00      0.00     95.43
02:48:19 PM     all      2.53      0.00      0.19      0.10      0.00     97.18
02:48:20 PM     all      4.55      0.00      0.43      0.06      0.00     94.96
02:48:21 PM     all      6.93      0.00      2.25      0.00      0.00     90.82
02:48:22 PM     all      6.16      0.00      1.14      0.00      0.00     92.70
02:48:23 PM     all      4.48      0.00      0.14      0.00      0.00     95.38
02:48:24 PM     all      5.30      0.00      0.40      0.01      0.00     94.28
02:48:25 PM     all      4.70      0.00      0.07      0.07      0.00     95.16
02:48:26 PM     all      4.30      0.00      0.25      0.00      0.00     95.45
02:48:27 PM     all      5.13      0.00      2.87      0.00      0.00     92.00
02:48:28 PM     all      3.30      0.00      0.10      0.00      0.00     96.60
02:48:29 PM     all      0.83      0.00      0.28      0.00      0.00     98.89


Average:        all      3.87      0.00     10.09      0.02      0.00     86.02
