Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:01:45 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:01:46 AM     all      0.46      0.00     67.80      0.00      0.00     31.74
01:01:47 AM     all      3.19      0.00      4.06      0.08      0.00     92.67
01:01:48 AM     all      2.14      0.00      0.82      0.00      0.00     97.04
01:01:49 AM     all      2.18      0.00      1.49      0.04      0.00     96.29
01:01:50 AM     all      6.81      0.00      3.07      0.00      0.00     90.12
01:01:51 AM     all     14.59      0.00      0.86      0.01      0.00     84.53
01:01:52 AM     all     43.90      0.00      2.60      0.04      0.00     53.46
01:01:53 AM     all     32.11      0.00      3.01      0.00      0.00     64.88
01:01:54 AM     all      3.80      0.00      0.86      0.00      0.00     95.33
01:01:55 AM     all     26.50      0.00      3.88      0.00      0.00     69.61
01:01:56 AM     all     27.51      0.00      2.81      0.00      0.00     69.68
01:01:57 AM     all     30.56      0.00      1.38      0.00      0.00     68.06
01:01:58 AM     all      2.46      0.00      0.75      0.26      0.00     96.52
01:01:59 AM     all     40.32      0.00      0.71      0.00      0.00     58.97
01:02:00 AM     all     19.27      0.00      5.76      0.01      0.00     74.96
01:02:01 AM     all     21.55      0.00      1.19      0.00      0.00     77.26
01:02:02 AM     all      2.59      0.00      0.74      0.00      0.00     96.67
01:02:03 AM     all     48.23      0.00      0.82      0.00      0.00     50.94
01:02:04 AM     all     26.83      0.00      2.16      0.00      0.00     71.00
01:02:05 AM     all      4.60      0.00      0.70      0.00      0.00     94.70
01:02:06 AM     all      4.10      0.00      3.44      0.01      0.00     92.44
01:02:07 AM     all     50.97      0.00      1.68      0.00      0.00     47.34
01:02:08 AM     all     25.56      0.00      2.08      0.00      0.00     72.36
01:02:09 AM     all      2.87      0.00      0.89      0.01      0.00     96.23
01:02:10 AM     all     17.35      0.00      0.60      0.01      0.00     82.04
01:02:11 AM     all     40.67      0.00      5.18      0.00      0.00     54.14
01:02:12 AM     all     23.12      0.00      1.25      0.00      0.00     75.63
01:02:13 AM     all      2.32      0.00      0.86      0.13      0.00     96.69
01:02:14 AM     all     35.60      0.00      0.54      0.00      0.00     63.86
01:02:15 AM     all     21.81      0.00      2.41      0.01      0.00     75.77
01:02:16 AM     all     21.61      0.00      2.02      0.00      0.00     76.37
01:02:17 AM     all      3.33      0.00      2.40      0.00      0.00     94.27
01:02:18 AM     all     47.35      0.00      0.92      0.00      0.00     51.73
01:02:19 AM     all     14.56      0.00      2.54      1.21      0.00     81.69
01:02:20 AM     all     16.30      0.00      1.00      1.17      0.00     81.53
01:02:21 AM     all      2.33      0.00      0.70      1.59      0.00     95.38
01:02:22 AM     all     45.44      0.00      4.39      1.27      0.00     48.90
01:02:23 AM     all     19.86      0.00      2.83      1.05      0.00     76.26
01:02:24 AM     all     12.11      0.00      0.99      1.19      0.00     85.71
01:02:25 AM     all      2.73      0.00      0.79      0.32      0.00     96.16
01:02:26 AM     all     48.37      0.00      1.06      0.01      0.00     50.55
01:02:27 AM     all     26.53      0.00      2.22      0.00      0.00     71.25
01:02:28 AM     all      5.03      0.00      3.18      0.00      0.00     91.78
01:02:29 AM     all      2.49      0.00      0.47      0.00      0.00     97.03
01:02:30 AM     all     51.01      0.00      1.30      0.00      0.00     47.69
01:02:31 AM     all     25.49      0.00      1.48      0.00      0.00     73.02
01:02:32 AM     all      2.35      0.00      0.57      0.00      0.00     97.08
01:02:33 AM     all     19.82      0.00      3.05      0.00      0.00     77.13
01:02:34 AM     all     37.64      0.00      1.71      0.00      0.00     60.65
01:02:35 AM     all     22.58      0.00      1.04      0.01      0.00     76.37
01:02:36 AM     all      2.38      0.00      0.47      0.00      0.00     97.15
01:02:37 AM     all     44.54      0.00      0.44      0.00      0.00     55.02
01:02:38 AM     all     14.07      0.00      3.56      0.00      0.00     82.37
01:02:39 AM     all     19.74      0.00      2.89      0.01      0.00     77.35
01:02:40 AM     all      2.38      0.00      0.45      0.00      0.00     97.17
01:02:41 AM     all     49.14      0.00      0.82      0.00      0.00     50.03
01:02:42 AM     all     27.00      0.00      1.88      0.00      0.00     71.12
01:02:43 AM     all      2.78      0.00      0.40      0.00      0.00     96.81
01:02:44 AM     all      6.30      0.00      3.12      0.00      0.00     90.58
01:02:45 AM     all     49.99      0.00      1.63      0.01      0.00     48.36
01:02:46 AM     all     24.52      0.00      1.66      0.32      0.00     73.50
01:02:47 AM     all      2.31      0.00      0.68      0.00      0.00     97.01
01:02:48 AM     all     31.75      0.00      0.62      0.00      0.00     67.63
01:02:49 AM     all     26.46      0.00      5.03      0.00      0.00     68.51
01:02:50 AM     all     21.72      0.00      1.89      0.01      0.00     76.38
01:02:51 AM     all      2.63      0.00      0.64      0.32      0.00     96.41
01:02:52 AM     all     48.38      0.00      1.00      0.59      0.00     50.03
01:02:53 AM     all     24.98      0.00      2.45      0.95      0.00     71.62
01:02:54 AM     all      5.65      0.00      1.14      1.34      0.00     91.87
01:02:55 AM     all      3.94      0.00      3.51      2.53      0.00     90.02
01:02:56 AM     all     48.56      0.00      1.09      0.73      0.00     49.62
01:02:57 AM     all     26.33      0.00      2.22      0.72      0.00     70.73
01:02:58 AM     all      3.52      0.00      0.74      0.00      0.00     95.74
01:02:59 AM     all      3.37      0.00      0.82      0.00      0.00     95.81
01:03:00 AM     all     53.51      0.00      4.96      0.00      0.00     41.53
01:03:01 AM     all     24.65      0.00      1.67      0.01      0.00     73.66
01:03:02 AM     all      2.55      0.00      0.82      0.00      0.00     96.63
01:03:03 AM     all     30.85      0.00      0.54      0.00      0.00     68.61
01:03:04 AM     all     25.93      0.00      2.31      0.00      0.00     71.76
01:03:05 AM     all     21.99      0.00      1.92      0.00      0.00     76.09
01:03:06 AM     all      3.36      0.00      2.38      0.00      0.00     94.26
01:03:07 AM     all      1.31      0.00      0.97      0.00      0.00     97.72
01:03:08 AM     all      0.21      0.00     41.74      0.00      0.00     58.05
01:03:09 AM     all      0.74      0.00     67.46      0.00      0.00     31.80
01:03:10 AM     all      1.83      0.00     21.98      0.07      0.00     76.12
01:03:11 AM     all      3.99      0.00      2.83      0.00      0.00     93.18
01:03:12 AM     all      2.09      0.00      0.26      0.00      0.00     97.65
01:03:13 AM     all      5.33      0.00      0.46      0.04      0.00     94.17
01:03:14 AM     all      2.89      0.00      0.29      0.00      0.00     96.82
01:03:15 AM     all     51.04      0.00      1.51      0.01      0.00     47.43
01:03:16 AM     all     24.91      0.00      4.89      0.00      0.00     70.20
01:03:17 AM     all      9.01      0.00      1.83      0.00      0.00     89.17
01:03:18 AM     all     34.42      0.00      0.51      0.11      0.00     64.95
01:03:19 AM     all     19.42      0.00      2.91      0.00      0.00     77.66
01:03:20 AM     all     29.41      0.00      0.49      0.01      0.00     70.09
01:03:21 AM     all      2.42      0.00      0.46      0.00      0.00     97.12
01:03:22 AM     all     43.82      0.00      3.92      0.01      0.00     52.25
01:03:23 AM     all     28.66      0.00      2.11      0.42      0.00     68.80
01:03:24 AM     all      3.94      0.00      0.79      1.32      0.00     93.94
01:03:25 AM     all      2.50      0.00      0.56      0.22      0.00     96.72
01:03:26 AM     all     47.78      0.00      1.35      0.00      0.00     50.87
01:03:27 AM     all     28.89      0.00      4.02      0.00      0.00     67.09
01:03:28 AM     all      2.38      0.00      1.09      0.00      0.00     96.53
01:03:29 AM     all     23.96      0.00      0.31      0.00      0.00     75.73
01:03:30 AM     all     29.19      0.00      2.21      0.01      0.00     68.59
01:03:31 AM     all     21.31      0.00      0.78      0.00      0.00     77.91
01:03:32 AM     all      2.48      0.00      0.38      0.00      0.00     97.14
01:03:33 AM     all     45.77      0.00      3.38      0.00      0.00     50.85
01:03:34 AM     all     26.47      0.00      2.24      0.00      0.00     71.29
01:03:35 AM     all      3.50      0.00      0.58      0.01      0.00     95.90
01:03:36 AM     all      2.61      0.00      0.45      0.00      0.00     96.94
01:03:37 AM     all     48.28      0.00      1.46      0.00      0.00     50.26
01:03:38 AM     all     25.72      0.00      4.27      0.00      0.00     70.01
01:03:39 AM     all      3.13      0.00      0.68      0.00      0.00     96.19
01:03:40 AM     all     33.85      0.00      0.31      0.00      0.00     65.85
01:03:41 AM     all     20.24      0.00      2.37      0.00      0.00     77.39
01:03:42 AM     all     20.00      0.00      0.60      0.00      0.00     79.40
01:03:43 AM     all      2.55      0.00      0.88      0.00      0.00     96.57
01:03:44 AM     all     47.82      0.00      3.02      0.00      0.00     49.17
01:03:45 AM     all     26.46      0.00      2.12      0.00      0.00     71.42
01:03:46 AM     all      2.44      0.00      0.76      0.42      0.00     96.38
01:03:47 AM     all     15.87      0.00      0.54      0.00      0.00     83.59
01:03:48 AM     all     36.29      0.00      2.34      0.00      0.00     61.38
01:03:49 AM     all     23.70      0.00      4.52      0.00      0.00     71.78
01:03:50 AM     all      2.53      0.00      0.81      0.01      0.00     96.65
01:03:51 AM     all     43.32      0.00      0.91      0.14      0.00     55.64
01:03:52 AM     all     25.52      0.00      2.72      1.06      0.00     70.69
01:03:53 AM     all      5.23      0.00      0.97      1.27      0.00     92.53
