Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

02:49:24 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:49:25 PM     all      1.56      0.00      2.58      0.00      0.00     95.86
02:49:26 PM     all      0.42      0.00     25.87      0.00      0.00     73.72
02:49:27 PM     all      0.19      0.00     66.94      0.00      0.00     32.86
02:49:28 PM     all      1.10      0.00     41.24      0.00      0.00     57.66
02:49:29 PM     all      2.03      0.00      0.28      0.00      0.00     97.69
02:49:30 PM     all      3.88      0.00      0.38      0.01      0.00     95.73
02:49:31 PM     all      5.06      0.00      3.19      0.14      0.00     91.61
02:49:32 PM     all      3.79      0.00      0.52      0.00      0.00     95.70
02:49:33 PM     all      4.87      0.00      0.20      0.00      0.00     94.93
02:49:34 PM     all      7.41      0.00      0.35      0.00      0.00     92.25
02:49:35 PM     all      7.68      0.00      0.54      0.00      0.00     91.77
02:49:36 PM     all      5.73      0.00      3.30      0.06      0.00     90.92
02:49:37 PM     all      5.18      0.00      0.65      0.00      0.00     94.16
02:49:38 PM     all      5.03      0.00      0.46      0.00      0.00     94.51
02:49:39 PM     all      4.92      0.00      0.60      0.01      0.00     94.46
02:49:40 PM     all      4.42      0.00      0.53      0.01      0.00     95.04
02:49:41 PM     all      4.74      0.00      1.64      0.00      0.00     93.63
02:49:42 PM     all      4.99      0.00      1.49      0.00      0.00     93.52
02:49:43 PM     all      4.44      0.00      0.35      0.00      0.00     95.21
02:49:44 PM     all      3.93      0.00      0.60      0.00      0.00     95.47
02:49:45 PM     all      4.08      0.00      0.76      0.00      0.00     95.16
02:49:46 PM     all      0.47      0.00     58.00      0.00      0.00     41.53
02:49:47 PM     all      2.46      0.00     71.39      0.00      0.00     26.15
02:49:48 PM     all      2.20      0.00     15.35      0.00      0.00     82.44
02:49:49 PM     all      2.86      0.00      0.36      0.00      0.00     96.78
02:49:50 PM     all      3.77      0.00      0.77      0.01      0.00     95.45
02:49:51 PM     all      3.09      0.00      0.39      0.00      0.00     96.52
02:49:52 PM     all      4.19      0.00      0.57      0.20      0.00     95.04
02:49:53 PM     all      8.66      0.00      3.54      0.00      0.00     87.80
02:49:54 PM     all      8.12      0.00      0.91      0.01      0.00     90.96
02:49:55 PM     all      6.64      0.00      1.23      0.01      0.00     92.12
02:49:56 PM     all      5.29      0.00      0.82      0.00      0.00     93.89
02:49:57 PM     all      5.60      0.00      0.79      0.08      0.00     93.52
02:49:58 PM     all      5.69      0.00      3.52      0.00      0.00     90.79
02:49:59 PM     all      4.12      0.00      0.90      0.00      0.00     94.98
02:50:00 PM     all      5.02      0.00      1.06      0.01      0.00     93.91
02:50:01 PM     all      4.51      0.00      0.96      0.00      0.00     94.52
02:50:02 PM     all      4.45      0.00      0.95      0.00      0.00     94.60
02:50:03 PM     all      3.65      0.00      0.56      0.00      0.00     95.79
02:50:04 PM     all      6.19      0.00      3.65      0.00      0.00     90.16
02:50:05 PM     all      3.76      0.00     16.96      0.03      0.00     79.25
02:50:06 PM     all      0.78      0.00     67.97      0.00      0.00     31.25
02:50:07 PM     all      0.96      0.00     55.18      0.00      0.00     43.86
02:50:08 PM     all      2.20      0.00      0.71      0.00      0.00     97.09
02:50:09 PM     all      5.87      0.00      4.07      0.00      0.00     90.06
02:50:10 PM     all      3.75      0.00      0.53      0.00      0.00     95.72
02:50:11 PM     all      3.85      0.00      0.63      0.00      0.00     95.53
02:50:12 PM     all      4.81      0.00      0.42      0.00      0.00     94.78
02:50:13 PM     all      7.26      0.00      0.63      0.15      0.00     91.96
02:50:14 PM     all      9.24      0.00      2.15      0.00      0.00     88.61
02:50:15 PM     all      5.68      0.00      1.68      0.01      0.00     92.62
02:50:16 PM     all      6.22      0.00      0.85      0.00      0.00     92.93
02:50:17 PM     all      4.11      0.00      0.17      0.00      0.00     95.72
02:50:18 PM     all      4.68      0.00      0.38      0.10      0.00     94.85
02:50:19 PM     all      4.64      0.00      0.44      0.00      0.00     94.92
02:50:20 PM     all      6.03      0.00      3.24      0.01      0.00     90.71
02:50:21 PM     all      4.34      0.00      0.49      0.00      0.00     95.18
02:50:22 PM     all      3.59      0.00      0.17      0.00      0.00     96.25
02:50:23 PM     all      3.91      0.00      0.53      0.00      0.00     95.56
02:50:24 PM     all      4.44      0.00      0.63      0.01      0.00     94.92
02:50:25 PM     all      2.87      0.00      3.08      0.01      0.00     94.04


Average:        all      4.35      0.00      7.84      0.01      0.00     87.79
