Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:21:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:21:39 AM     all      3.06      0.00     59.19      1.93      0.00     35.82
01:21:40 AM     all      5.52      0.00      0.81      2.02      0.00     91.64
01:21:41 AM     all      8.37      0.00      1.19      1.89      0.00     88.54
01:21:42 AM     all     10.40      0.00      2.85      1.75      0.00     84.99
01:21:43 AM     all     11.41      0.00      0.74      1.73      0.00     86.12
01:21:44 AM     all      9.46      0.00      0.63      1.88      0.00     88.03
01:21:45 AM     all      9.66      0.00      0.85      1.65      0.00     87.84
01:21:46 AM     all      6.46      0.00      1.06      2.11      0.00     90.37
01:21:47 AM     all     10.04      0.00      4.09      1.78      0.00     84.09
01:21:48 AM     all      5.25      0.00      1.06      1.98      0.00     91.71
01:21:49 AM     all      5.28      0.00      1.55      2.02      0.00     91.15
01:21:50 AM     all      3.54      0.00      1.36      2.17      0.00     92.94
01:21:51 AM     all      3.40      0.00      1.12      2.01      0.00     93.47
01:21:52 AM     all      4.73      0.00      4.36      1.89      0.00     89.02
01:21:53 AM     all      4.78      0.00      1.11      2.05      0.00     92.06
01:21:54 AM     all      3.82      0.00      1.09      1.98      0.00     93.11
01:21:55 AM     all      2.87      0.00      1.00      1.98      0.00     94.15
01:21:56 AM     all      3.08      0.00      1.04      2.13      0.00     93.75
01:21:57 AM     all      2.87      0.00      0.81      2.08      0.00     94.24
01:21:58 AM     all      4.42      0.00      3.92      1.98      0.00     89.69
01:21:59 AM     all      3.23      0.00      0.65      2.15      0.00     93.97
01:22:00 AM     all      2.88      0.00      0.77      1.99      0.00     94.37
01:22:01 AM     all      2.60      0.00      0.64      1.84      0.00     94.92
01:22:02 AM     all      2.81      0.00      0.79      1.86      0.00     94.54
01:22:03 AM     all      4.01      0.00      3.71      1.62      0.00     90.66
01:22:04 AM     all      2.97      0.00      0.77      1.84      0.00     94.43
01:22:05 AM     all      2.17      0.00      0.75      1.91      0.00     95.17
01:22:06 AM     all      2.62      0.00      0.78      1.68      0.00     94.92
01:22:07 AM     all      4.11      0.00      1.06      1.34      0.00     93.50
01:22:08 AM     all      3.47      0.00      2.49      1.26      0.00     92.78
01:22:09 AM     all      3.03      0.00     10.63      1.26      0.00     85.08
01:22:10 AM     all      0.58      0.00     67.95      1.50      0.00     29.96
01:22:11 AM     all      0.50      0.00     60.74      1.73      0.00     37.03
01:22:12 AM     all      3.68      0.00      0.60      1.67      0.00     94.05
01:22:13 AM     all      6.40      0.00      0.55      1.86      0.00     91.19
01:22:14 AM     all      9.54      0.00      3.63      1.77      0.00     85.06
01:22:15 AM     all      9.70      0.00      0.78      1.95      0.00     87.57
01:22:16 AM     all      8.36      0.00      0.45      1.87      0.00     89.33
01:22:17 AM     all      8.53      0.00      0.91      1.91      0.00     88.65
01:22:18 AM     all      6.02      0.00      0.82      1.82      0.00     91.34
01:22:19 AM     all      9.57      0.00      3.13      1.82      0.00     85.48
01:22:20 AM     all      5.24      0.00      0.46      1.78      0.00     92.52
01:22:21 AM     all      6.36      0.00      0.19      1.89      0.00     91.56
01:22:22 AM     all      3.90      0.00      0.33      1.93      0.00     93.83
01:22:23 AM     all      3.32      0.00      0.40      1.82      0.00     94.46
01:22:24 AM     all      5.46      0.00      1.54      1.76      0.00     91.25
01:22:25 AM     all      4.55      0.00      2.48      1.67      0.00     91.30
01:22:26 AM     all      2.95      0.00      0.39      1.74      0.00     94.92
01:22:27 AM     all      2.48      0.00      0.42      1.61      0.00     95.49
01:22:28 AM     all      2.58      0.00      0.35      1.74      0.00     95.33
01:22:29 AM     all      2.39      0.00      0.45      1.59      0.00     95.58
01:22:30 AM     all      4.57      0.00      3.17      1.83      0.00     90.43
01:22:31 AM     all      2.56      0.00      0.25      1.71      0.00     95.49
01:22:32 AM     all      2.13      0.00      0.36      1.74      0.00     95.77
01:22:33 AM     all      2.27      0.00      0.35      1.75      0.00     95.63
01:22:34 AM     all      2.70      0.00      0.39      1.96      0.00     94.96
01:22:35 AM     all      3.94      0.00      3.08      1.62      0.00     91.36
01:22:36 AM     all      2.68      0.00      0.32      1.61      0.00     95.38
