Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:35:16 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:35:17 AM     all      0.22      0.00     67.46      0.00      0.00     32.32
01:35:18 AM     all      1.92      0.00     24.11      0.00      0.00     73.97
01:35:19 AM     all      5.82      0.00      3.44      0.00      0.00     90.74
01:35:20 AM     all     50.92      0.00      2.81      0.00      0.00     46.27
01:35:21 AM     all     71.01      0.00     11.21      0.00      0.00     17.77
01:35:22 AM     all     57.24      0.00     13.35      0.00      0.00     29.40
01:35:23 AM     all     52.46      0.00     10.56      0.01      0.00     36.97
01:35:24 AM     all     53.01      0.00     13.67      0.00      0.00     33.32
01:35:25 AM     all     54.16      0.00     12.01      0.01      0.00     33.81
01:35:26 AM     all     38.49      0.00      9.50      0.00      0.00     52.01
01:35:27 AM     all     59.23      0.00     16.20      0.00      0.00     24.57
01:35:28 AM     all     52.00      0.00     11.31      0.00      0.00     36.69
01:35:29 AM     all     52.23      0.00     11.00      0.00      0.00     36.77
01:35:30 AM     all     52.84      0.00     14.86      0.00      0.00     32.30
01:35:31 AM     all     36.90      0.00      9.96      0.00      0.00     53.15
01:35:32 AM     all     57.80      0.00     16.88      0.00      0.00     25.31
01:35:33 AM     all     53.34      0.00     11.37      0.00      0.00     35.29
01:35:34 AM     all     52.26      0.00     10.92      0.00      0.00     36.82
01:35:35 AM     all     52.79      0.00     12.97      0.00      0.00     34.23
01:35:36 AM     all     34.58      0.00      9.76      0.00      0.00     55.65
01:35:37 AM     all     58.29      0.00     17.57      0.00      0.00     24.14
01:35:38 AM     all     54.85      0.00     12.11      0.00      0.00     33.05
01:35:39 AM     all     53.76      0.00     11.02      0.00      0.00     35.23
01:35:40 AM     all     53.94      0.00     11.53      0.00      0.00     34.53
01:35:41 AM     all     40.65      0.00     12.16      0.00      0.00     47.19
01:35:42 AM     all     60.82      0.00     17.70      0.00      0.00     21.49
01:35:43 AM     all     54.38      0.00     11.83      0.00      0.00     33.79
01:35:44 AM     all     53.34      0.00     11.46      0.00      0.00     35.20
01:35:45 AM     all     54.75      0.00     11.83      0.01      0.00     33.41
01:35:46 AM     all     36.92      0.00     12.60      0.01      0.00     50.46
01:35:47 AM     all     59.48      0.00     17.41      0.00      0.00     23.11
01:35:48 AM     all     53.98      0.00     11.65      0.00      0.00     34.38
01:35:49 AM     all     54.51      0.00     11.66      0.00      0.00     33.83
01:35:50 AM     all     52.13      0.00     12.08      0.00      0.00     35.79
01:35:51 AM     all     41.99      0.00     12.48      0.00      0.00     45.52
01:35:52 AM     all     57.13      0.00     17.69      0.00      0.00     25.18
01:35:53 AM     all     53.07      0.00     10.91      0.00      0.00     36.02
01:35:54 AM     all     53.91      0.00     11.73      0.01      0.00     34.34
01:35:55 AM     all     45.66      0.00      9.76      0.01      0.00     44.57
01:35:56 AM     all     52.15      0.00     15.92      0.01      0.00     31.92
01:35:57 AM     all     56.03      0.00     13.93      0.00      0.00     30.04
01:35:58 AM     all     53.11      0.00     13.56      0.00      0.00     33.33
01:35:59 AM     all     53.71      0.00     11.85      0.00      0.00     34.44
01:36:00 AM     all     38.28      0.00      9.73      0.00      0.00     51.99
01:36:01 AM     all     58.79      0.00     17.25      0.00      0.00     23.96
01:36:02 AM     all     53.69      0.00     11.87      0.00      0.00     34.44
01:36:03 AM     all     54.14      0.00     14.90      0.00      0.00     30.96
