Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:44:43 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:44:44 AM     all      0.64      0.00     65.82      0.00      0.00     33.54
01:44:45 AM     all      3.70      0.00      1.09      0.00      0.00     95.21
01:44:46 AM     all     14.29      0.00     19.66      0.00      0.00     66.05
01:44:47 AM     all     70.62      0.00     12.67      0.00      0.00     16.71
01:44:48 AM     all     63.24      0.00     27.39      0.00      0.00      9.37
01:44:49 AM     all     61.35      0.00     28.44      0.00      0.00     10.20
01:44:50 AM     all     61.84      0.00     28.53      0.00      0.00      9.64
01:44:51 AM     all     63.54      0.00     28.35      0.00      0.00      8.11
01:44:52 AM     all     67.06      0.00     26.29      0.00      0.00      6.65
01:44:53 AM     all     66.90      0.00     27.11      0.00      0.00      6.00
01:44:54 AM     all     62.97      0.00     25.46      0.01      0.00     11.55
01:44:55 AM     all     66.11      0.00     27.81      0.00      0.00      6.08
01:44:56 AM     all     66.16      0.00     28.04      0.00      0.00      5.79
01:44:57 AM     all     64.13      0.00     30.45      0.00      0.00      5.42
01:44:58 AM     all     65.48      0.00     26.19      0.00      0.00      8.33
01:44:59 AM     all     66.14      0.00     27.56      0.00      0.00      6.30
01:45:00 AM     all     66.82      0.00     27.03      0.00      0.00      6.15
01:45:01 AM     all     64.86      0.00     26.77      0.00      0.00      8.37
01:45:02 AM     all     64.96      0.00     29.94      0.00      0.00      5.09
01:45:03 AM     all     66.28      0.00     27.72      0.00      0.00      6.00
01:45:04 AM     all     65.02      0.00     25.91      0.00      0.00      9.07
01:45:05 AM     all     66.27      0.00     27.39      0.00      0.00      6.34
01:45:06 AM     all     66.36      0.00     27.51      0.00      0.00      6.13
01:45:07 AM     all     66.43      0.00     27.41      0.01      0.00      6.15
01:45:08 AM     all     63.44      0.00     29.09      0.01      0.00      7.45
01:45:09 AM     all     66.83      0.00     27.35      0.00      0.00      5.82
01:45:10 AM     all     66.20      0.00     27.45      0.00      0.00      6.35
01:45:11 AM     all     64.97      0.00     26.45      0.00      0.00      8.58
01:45:12 AM     all     65.62      0.00     27.60      0.00      0.00      6.78
01:45:13 AM     all     65.47      0.00     28.20      0.00      0.00      6.33
01:45:14 AM     all     64.55      0.00     29.17      0.00      0.00      6.28
01:45:15 AM     all     63.60      0.00     26.87      0.00      0.00      9.53
01:45:16 AM     all     66.09      0.00     27.24      0.00      0.00      6.67
