Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:06:32 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:06:33 AM     all      0.32      0.00     65.58      0.00      0.00     34.10
01:06:34 AM     all     40.78      0.00      1.11      0.00      0.00     58.10
01:06:35 AM     all     51.93      0.00      2.37      0.00      0.00     45.70
01:06:36 AM     all     52.04      0.00      2.69      0.00      0.00     45.27
01:06:37 AM     all     52.55      0.00      2.44      0.00      0.00     45.01
01:06:38 AM     all     53.54      0.00      6.08      0.00      0.00     40.37
01:06:39 AM     all     53.95      0.00      2.82      0.00      0.00     43.23
01:06:40 AM     all     53.75      0.00      2.26      0.01      0.00     43.98
01:06:41 AM     all     53.77      0.00      2.50      0.00      0.00     43.73
01:06:42 AM     all     54.16      0.00      2.30      0.00      0.00     43.54
01:06:43 AM     all     44.97      0.00     12.38      0.00      0.00     42.66
01:06:44 AM     all      2.81      0.00     71.11      0.00      0.00     26.08
01:06:45 AM     all      1.16      0.00     63.52      0.01      0.00     35.31
01:06:46 AM     all     42.96      0.00      1.83      0.00      0.00     55.21
01:06:47 AM     all     51.43      0.00      3.28      0.00      0.00     45.29
01:06:48 AM     all     52.12      0.00      3.22      0.00      0.00     44.66
01:06:49 AM     all     52.84      0.00      3.34      0.00      0.00     43.82
01:06:50 AM     all     53.19      0.00      7.01      0.01      0.00     39.79
01:06:51 AM     all     53.81      0.00      3.37      0.00      0.00     42.82
01:06:52 AM     all     54.04      0.00      3.33      0.03      0.00     42.60
01:06:53 AM     all     54.53      0.00      3.39      0.00      0.00     42.07
01:06:54 AM     all     54.55      0.00      3.61      0.04      0.00     41.80
01:06:55 AM     all     28.84      0.00     33.19      0.03      0.00     37.94
01:06:56 AM     all      2.95      0.00     72.65      0.03      0.00     24.37
01:06:57 AM     all      1.72      0.00     41.56      0.01      0.00     56.71
01:06:58 AM     all     56.98      0.00      2.80      0.01      0.00     40.20
01:06:59 AM     all     54.60      0.00      3.30      0.01      0.00     42.08
01:07:00 AM     all     54.17      0.00      3.20      0.03      0.00     42.60
01:07:01 AM     all     54.55      0.00      3.38      0.00      0.00     42.07
01:07:02 AM     all     53.60      0.00      7.32      0.00      0.00     39.07
01:07:03 AM     all     54.78      0.00      3.19      0.00      0.00     42.04
01:07:04 AM     all     54.35      0.00      3.23      0.00      0.00     42.41
01:07:05 AM     all     54.00      0.00      3.60      0.04      0.00     42.35
01:07:06 AM     all     54.50      0.00      3.17      0.00      0.00     42.32
01:07:07 AM     all     17.18      0.00      1.76      0.03      0.00     81.03


Average:        all     43.48      0.00     13.05      0.01      0.00     43.46
