Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:07:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:07:39 AM     all      0.60      0.00     67.49      0.00      0.00     31.91
01:07:40 AM     all      6.36      0.00      8.71      0.01      0.00     84.92
01:07:41 AM     all      5.39      0.00      0.36      0.00      0.00     94.24
01:07:42 AM     all      4.55      0.00      0.40      0.00      0.00     95.05
01:07:43 AM     all      4.71      0.00      0.31      0.00      0.00     94.98
01:07:44 AM     all      4.94      0.00      0.35      0.00      0.00     94.71
01:07:45 AM     all      6.75      0.00      3.86      0.01      0.00     89.38
01:07:46 AM     all      4.57      0.00      0.70      0.00      0.00     94.73
01:07:47 AM     all      4.74      0.00      0.78      0.00      0.00     94.47
01:07:48 AM     all      4.58      0.00      0.68      0.00      0.00     94.74
01:07:49 AM     all      4.52      0.00      0.85      0.00      0.00     94.62
01:07:50 AM     all      5.07      0.00      1.18      0.00      0.00     93.75
01:07:51 AM     all      5.97      0.00      2.86      0.00      0.00     91.17
01:07:52 AM     all      4.75      0.00      0.72      0.00      0.00     94.52
01:07:53 AM     all      4.86      0.00      0.81      0.00      0.00     94.33
01:07:54 AM     all      5.43      0.00      0.99      0.01      0.00     93.56
01:07:55 AM     all      4.81      0.00      0.88      0.01      0.00     94.29
01:07:56 AM     all      6.27      0.00      3.60      0.01      0.00     90.12
01:07:57 AM     all      4.77      0.00      0.84      0.00      0.00     94.40
01:07:58 AM     all      4.82      0.00      0.71      0.00      0.00     94.47
01:07:59 AM     all      4.95      0.00      0.79      0.01      0.00     94.24
01:08:00 AM     all      5.12      0.00      0.86      0.00      0.00     94.02
01:08:01 AM     all      6.34      0.00      3.33      0.00      0.00     90.34
01:08:02 AM     all      3.69      0.00     19.02      0.00      0.00     77.29
01:08:03 AM     all      0.99      0.00     67.88      0.00      0.00     31.13
01:08:04 AM     all      1.02      0.00     53.27      0.00      0.00     45.72
01:08:05 AM     all      6.67      0.00      0.73      0.01      0.00     92.59
01:08:06 AM     all      5.82      0.00      0.65      0.00      0.00     93.53
01:08:07 AM     all      6.27      0.00      2.78      0.00      0.00     90.96
01:08:08 AM     all      4.70      0.00      0.39      0.01      0.00     94.90
01:08:09 AM     all      5.18      0.00      0.45      0.01      0.00     94.36
01:08:10 AM     all      4.83      0.00      0.42      0.00      0.00     94.75
01:08:11 AM     all      4.85      0.00      0.24      0.00      0.00     94.92
01:08:12 AM     all      6.23      0.00      3.12      0.01      0.00     90.64
01:08:13 AM     all      4.86      0.00      0.39      0.00      0.00     94.75
01:08:14 AM     all      4.74      0.00      0.21      0.00      0.00     95.05
01:08:15 AM     all      4.66      0.00      0.39      0.01      0.00     94.94
01:08:16 AM     all      4.70      0.00      0.39      0.00      0.00     94.91
01:08:17 AM     all      5.53      0.00      1.76      0.00      0.00     92.70
01:08:18 AM     all      5.18      0.00      1.40      0.00      0.00     93.42
01:08:19 AM     all      4.72      0.00      0.46      0.01      0.00     94.81
01:08:20 AM     all      4.94      0.00      0.36      0.01      0.00     94.69
01:08:21 AM     all      4.92      0.00      0.39      0.00      0.00     94.69
01:08:22 AM     all      4.58      0.00      0.28      0.00      0.00     95.15
01:08:23 AM     all      6.18      0.00      2.96      0.00      0.00     90.85
01:08:24 AM     all      5.56      0.00      0.71      0.01      0.00     93.71
01:08:25 AM     all      5.04      0.00      0.39      0.01      0.00     94.56
01:08:26 AM     all      4.15      0.00      7.24      0.00      0.00     88.62
01:08:27 AM     all      0.25      0.00     66.94      0.00      0.00     32.81
01:08:28 AM     all      1.54      0.00     62.77      0.00      0.00     35.70
01:08:29 AM     all      6.86      0.00      1.79      0.01      0.00     91.34
01:08:30 AM     all      5.28      0.00      0.40      0.01      0.00     94.30
01:08:31 AM     all      5.26      0.00      0.53      0.00      0.00     94.21
01:08:32 AM     all      5.25      0.00      0.70      0.00      0.00     94.05
01:08:33 AM     all      5.96      0.00      0.36      0.00      0.00     93.68
01:08:34 AM     all      6.53      0.00      3.33      0.00      0.00     90.14
01:08:35 AM     all      4.82      0.00      0.36      0.00      0.00     94.82
01:08:36 AM     all      5.53      0.00      0.60      0.00      0.00     93.87
01:08:37 AM     all      5.32      0.00      0.36      0.00      0.00     94.32
01:08:38 AM     all      4.57      0.00      0.45      0.00      0.00     94.99
01:08:39 AM     all      7.12      0.00      3.41      0.00      0.00     89.47
01:08:40 AM     all      4.84      0.00      0.42      0.00      0.00     94.74
01:08:41 AM     all      4.93      0.00      0.40      0.00      0.00     94.66
01:08:42 AM     all      5.14      0.00      0.87      0.00      0.00     94.00
01:08:43 AM     all      4.73      0.00      0.47      0.00      0.00     94.79
01:08:44 AM     all      4.59      0.00      0.67      0.00      0.00     94.74
01:08:45 AM     all      6.15      0.00      3.14      0.06      0.00     90.65
01:08:46 AM     all      4.85      0.00      0.60      0.00      0.00     94.55
01:08:47 AM     all      4.91      0.00      0.75      0.01      0.00     94.32
01:08:48 AM     all      4.64      0.00      0.68      0.03      0.00     94.64
01:08:49 AM     all      4.57      0.00      0.78      0.01      0.00     94.63
01:08:50 AM     all      6.28      0.00      3.50      0.15      0.00     90.06
01:08:51 AM     all      1.54      0.00      0.71      0.01      0.00     97.74
01:08:52 AM     all      0.24      0.00      0.40      0.00      0.00     99.36


Average:        all      4.82      0.00      5.73      0.01      0.00     89.45
