Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

02:51:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:51:41 PM     all      1.91      0.00     69.85      0.00      0.00     28.24
02:51:42 PM     all      1.71      0.00      2.19      0.01      0.00     96.09
02:51:43 PM     all      3.20      0.00      0.42      0.00      0.00     96.38
02:51:44 PM     all      4.52      0.00      0.36      0.00      0.00     95.12
02:51:45 PM     all      5.33      0.00      0.37      0.01      0.00     94.28
02:51:46 PM     all      9.24      0.00      3.04      0.13      0.00     87.60
02:51:47 PM     all      6.01      0.00      1.60      0.00      0.00     92.39
02:51:48 PM     all      4.95      0.00      0.52      0.00      0.00     94.53
02:51:49 PM     all      4.75      0.00      0.79      0.00      0.00     94.46
02:51:50 PM     all      5.81      0.00      0.79      0.00      0.00     93.39
02:51:51 PM     all      4.68      0.00      0.67      0.04      0.00     94.61
02:51:52 PM     all      5.97      0.00      3.36      0.00      0.00     90.67
02:51:53 PM     all      4.95      0.00      0.64      0.00      0.00     94.41
02:51:54 PM     all      5.41      0.00      0.98      0.01      0.00     93.60
02:51:55 PM     all      5.56      0.00      1.10      0.01      0.00     93.33
02:51:56 PM     all      5.00      0.00      0.75      0.00      0.00     94.25
02:51:57 PM     all      5.77      0.00      3.42      0.00      0.00     90.81
02:51:58 PM     all      4.48      0.00      0.64      0.00      0.00     94.88
02:51:59 PM     all      4.61      0.00      0.58      0.00      0.00     94.81
02:52:00 PM     all      5.31      0.00      0.60      0.01      0.00     94.07
02:52:01 PM     all      4.81      0.00      0.54      0.00      0.00     94.64
02:52:02 PM     all      5.02      0.00      1.30      0.00      0.00     93.67
02:52:03 PM     all      5.43      0.00      2.75      0.00      0.00     91.82
02:52:04 PM     all      4.57      0.00      0.53      0.00      0.00     94.90
02:52:05 PM     all      6.56      0.00      0.52      0.01      0.00     92.91
02:52:06 PM     all      4.42      0.00      0.40      0.00      0.00     95.17
02:52:07 PM     all      4.27      0.00      0.32      0.00      0.00     95.41
02:52:08 PM     all      6.41      0.00      3.07      0.00      0.00     90.52
02:52:09 PM     all      5.26      0.00      0.35      0.01      0.00     94.38
02:52:10 PM     all      4.83      0.00      0.46      0.00      0.00     94.71
02:52:11 PM     all      4.55      0.00      0.36      0.00      0.00     95.09
