Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

02:56:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:56:05 PM     all      2.57      0.00     61.35      0.00      0.00     36.08
02:56:06 PM     all      2.31      0.00      0.86      0.01      0.00     96.81
02:56:07 PM     all      3.54      0.00      0.84      0.04      0.00     95.59
02:56:08 PM     all      3.81      0.00      0.75      0.24      0.00     95.21
02:56:09 PM     all      4.78      0.00      1.19      0.08      0.00     93.95
02:56:10 PM     all      8.15      0.00      1.31      0.03      0.00     90.51
02:56:11 PM     all      8.33      0.00      3.48      0.04      0.00     88.14
02:56:12 PM     all      7.39      0.00      0.79      0.06      0.00     91.76
02:56:13 PM     all      7.49      0.00      1.16      0.10      0.00     91.25
02:56:14 PM     all      6.17      0.00      1.17      0.00      0.00     92.66
02:56:15 PM     all      5.61      0.00      1.11      0.03      0.00     93.25
02:56:16 PM     all      8.32      0.00      3.83      0.01      0.00     87.84
02:56:17 PM     all      5.45      0.00      1.16      0.00      0.00     93.39
02:56:18 PM     all      5.56      0.00      1.17      0.03      0.00     93.24
02:56:19 PM     all      5.87      0.00      0.92      0.00      0.00     93.21
02:56:20 PM     all      5.44      0.00      1.16      0.00      0.00     93.40
02:56:21 PM     all      6.47      0.00      2.60      0.06      0.00     90.88
02:56:22 PM     all      6.59      0.00      2.79      0.00      0.00     90.61
02:56:23 PM     all      7.45      0.00      1.14      0.00      0.00     91.41
02:56:24 PM     all      0.98      0.00     67.60      0.00      0.00     31.43
02:56:25 PM     all      0.47      0.00     66.69      0.00      0.00     32.83
02:56:26 PM     all      1.77      0.00      1.21      0.01      0.00     97.01
02:56:27 PM     all      4.47      0.00      2.95      0.00      0.00     92.58
02:56:28 PM     all      3.87      0.00      0.42      0.00      0.00     95.72
02:56:29 PM     all      2.93      0.00      0.22      0.18      0.00     96.67
02:56:30 PM     all      7.66      0.00      0.73      0.00      0.00     91.62
02:56:31 PM     all      8.69      0.00      0.96      0.01      0.00     90.33
02:56:32 PM     all      8.10      0.00      3.24      0.00      0.00     88.66
02:56:33 PM     all      7.50      0.00      0.84      0.00      0.00     91.67
02:56:34 PM     all      5.76      0.00      0.93      0.11      0.00     93.20
02:56:35 PM     all      6.35      0.00      0.71      0.00      0.00     92.94
02:56:36 PM     all      5.94      0.00      0.86      0.00      0.00     93.20
02:56:37 PM     all      5.75      0.00      1.00      0.00      0.00     93.25
02:56:38 PM     all      5.93      0.00      2.62      0.00      0.00     91.45
02:56:39 PM     all      5.58      0.00      0.92      0.00      0.00     93.50
02:56:40 PM     all      5.32      0.00      1.04      0.00      0.00     93.64
02:56:41 PM     all      5.31      0.00      0.78      0.01      0.00     93.89
02:56:42 PM     all      5.20      0.00      0.83      0.00      0.00     93.96
02:56:43 PM     all      7.05      0.00      3.54      0.00      0.00     89.42
02:56:44 PM     all      0.60      0.00     58.32      0.00      0.00     41.08
02:56:45 PM     all      0.45      0.00     67.05      0.00      0.00     32.51
02:56:46 PM     all      1.80      0.00      9.43      0.00      0.00     88.78
02:56:47 PM     all      2.97      0.00      0.71      0.00      0.00     96.32
02:56:48 PM     all      5.14      0.00      2.86      0.01      0.00     91.99
02:56:49 PM     all      3.33      0.00      0.57      0.00      0.00     96.09
02:56:50 PM     all      7.46      0.00      1.41      0.18      0.00     90.94
02:56:51 PM     all     12.57      0.00      1.16      0.01      0.00     86.26
02:56:52 PM     all      5.43      0.00      0.42      0.00      0.00     94.15
02:56:53 PM     all      8.74      0.00      1.13      0.00      0.00     90.13
02:56:54 PM     all      8.21      0.00      4.17      0.00      0.00     87.63
02:56:55 PM     all      5.23      0.00      0.47      0.06      0.00     94.24
02:56:56 PM     all      5.96      0.00      1.14      0.00      0.00     92.90
02:56:57 PM     all      5.50      0.00      1.20      0.00      0.00     93.31
02:56:58 PM     all      6.09      0.00      1.01      0.00      0.00     92.90
02:56:59 PM     all      7.50      0.00      3.47      0.00      0.00     89.02
02:57:00 PM     all      5.39      0.00      1.14      0.01      0.00     93.45
02:57:01 PM     all      5.05      0.00      1.09      0.00      0.00     93.86
02:57:02 PM     all      5.48      0.00      1.15      0.00      0.00     93.36
02:57:03 PM     all      6.59      0.00      1.10      0.00      0.00     92.31
02:57:04 PM     all      2.24      0.00      1.42      0.00      0.00     96.34
02:57:05 PM     all      1.36      0.00      1.87      0.00      0.00     96.77


Average:        all      5.39      0.00      6.71      0.02      0.00     87.88
