Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:09:35 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:09:36 AM     all      0.19      0.00     66.93      0.00      0.00     32.87
01:09:37 AM     all      2.79      0.00      3.93      0.00      0.00     93.28
01:09:38 AM     all      1.81      0.00      0.14      0.00      0.00     98.06
01:09:39 AM     all      4.15      0.00      3.21      0.01      0.00     92.62
01:09:40 AM     all      1.68      0.00      0.08      0.00      0.00     98.23
01:09:41 AM     all      1.95      0.00      0.13      0.00      0.00     97.93
01:09:42 AM     all      1.75      0.00      0.22      0.00      0.00     98.03
01:09:43 AM     all      1.70      0.00      0.14      0.00      0.00     98.16
01:09:44 AM     all      3.28      0.00      2.56      0.00      0.00     94.16
01:09:45 AM     all      2.45      0.00      0.59      0.00      0.00     96.96
01:09:46 AM     all      2.40      0.00      0.53      0.04      0.00     97.03
01:09:47 AM     all      1.96      0.00      0.60      0.00      0.00     97.44
01:09:48 AM     all      2.06      0.00      0.57      0.00      0.00     97.37
01:09:49 AM     all      2.00      0.00      0.47      0.00      0.00     97.53
01:09:50 AM     all      3.37      0.00      3.38      0.01      0.00     93.24
01:09:51 AM     all      1.98      0.00      0.56      0.01      0.00     97.45
01:09:52 AM     all      1.89      0.00      0.47      0.00      0.00     97.63
01:09:53 AM     all      1.81      0.00      0.50      0.00      0.00     97.69
01:09:54 AM     all      2.56      0.00      0.63      0.01      0.00     96.80
01:09:55 AM     all      3.27      0.00      3.41      0.00      0.00     93.33
01:09:56 AM     all      1.89      0.00      0.65      0.00      0.00     97.45
01:09:57 AM     all      2.00      0.00      0.60      0.01      0.00     97.39
01:09:58 AM     all      1.86      0.00      0.52      0.00      0.00     97.63
01:09:59 AM     all      1.91      0.00      0.63      0.00      0.00     97.47
01:10:00 AM     all      2.44      0.00      1.52      0.00      0.00     96.05
01:10:01 AM     all      3.44      0.00      2.76      0.01      0.00     93.78
01:10:02 AM     all      1.85      0.00      0.42      0.00      0.00     97.73
01:10:03 AM     all      2.08      0.00      0.39      0.00      0.00     97.53
01:10:04 AM     all      2.31      0.00      0.53      0.00      0.00     97.16
01:10:05 AM     all      2.14      0.00      0.50      0.00      0.00     97.35
01:10:06 AM     all      3.92      0.00      3.35      0.01      0.00     92.71
01:10:07 AM     all      2.11      0.00      0.32      0.00      0.00     97.57
01:10:08 AM     all      1.68      0.00      0.10      0.00      0.00     98.22
01:10:09 AM     all      2.16      0.00      0.26      0.03      0.00     97.55
01:10:10 AM     all      1.65      0.00      0.14      0.00      0.00     98.21
01:10:11 AM     all      3.64      0.00      3.05      0.01      0.00     93.30
01:10:12 AM     all      1.68      0.00      0.06      0.00      0.00     98.26
01:10:13 AM     all      1.67      0.00      0.08      0.00      0.00     98.25
01:10:14 AM     all      1.83      0.00      0.07      0.00      0.00     98.10
01:10:15 AM     all      1.74      0.00      0.00      0.00      0.00     98.26
01:10:16 AM     all      1.74      0.00      0.13      0.00      0.00     98.14
01:10:17 AM     all      3.35      0.00      2.86      0.00      0.00     93.80
01:10:18 AM     all      1.83      0.00      0.11      0.00      0.00     98.06
01:10:19 AM     all      1.75      0.00      0.07      0.00      0.00     98.18
01:10:20 AM     all      1.78      0.00      0.15      0.00      0.00     98.07
01:10:21 AM     all      0.76      0.00     45.45      0.03      0.00     53.76
01:10:22 AM     all      1.59      0.00     69.63      0.00      0.00     28.78
01:10:23 AM     all      3.10      0.00     25.69      0.00      0.00     71.22
01:10:24 AM     all      2.17      0.00      0.28      0.01      0.00     97.54
01:10:25 AM     all      2.13      0.00      0.08      0.00      0.00     97.79
01:10:26 AM     all      2.05      0.00      0.26      0.01      0.00     97.67
01:10:27 AM     all      1.71      0.00      0.08      0.00      0.00     98.21
01:10:28 AM     all      3.31      0.00      3.00      0.01      0.00     93.67
01:10:29 AM     all      1.68      0.00      0.13      0.00      0.00     98.19
01:10:30 AM     all      1.71      0.00      0.14      0.00      0.00     98.15
01:10:31 AM     all      1.86      0.00      0.22      0.00      0.00     97.91
01:10:32 AM     all      1.89      0.00      0.14      0.00      0.00     97.97
01:10:33 AM     all      2.54      0.00      1.30      0.00      0.00     96.16
01:10:34 AM     all      2.66      0.00      1.66      0.00      0.00     95.68
01:10:35 AM     all      1.75      0.00      0.03      0.00      0.00     98.22
01:10:36 AM     all      1.68      0.00      0.03      0.01      0.00     98.27
01:10:37 AM     all      1.76      0.00      0.04      0.00      0.00     98.19
01:10:38 AM     all      1.78      0.00      0.03      0.00      0.00     98.19
01:10:39 AM     all      3.74      0.00      2.96      0.03      0.00     93.27
01:10:40 AM     all      1.78      0.00      0.12      0.00      0.00     98.10
01:10:41 AM     all      1.70      0.00      0.10      0.01      0.00     98.19
01:10:42 AM     all      1.53      0.00      0.14      0.00      0.00     98.33
01:10:43 AM     all      1.94      0.00      0.11      0.00      0.00     97.95
01:10:44 AM     all      3.41      0.00      3.00      0.00      0.00     93.59
01:10:45 AM     all      2.11      0.00      0.10      0.00      0.00     97.79
01:10:46 AM     all      2.31      0.00      0.47      0.03      0.00     97.19
01:10:47 AM     all      1.98      0.00      0.49      0.03      0.00     97.51
01:10:48 AM     all      1.92      0.00      0.49      0.03      0.00     97.56
01:10:49 AM     all      2.20      0.00      1.07      0.06      0.00     96.67
01:10:50 AM     all      3.02      0.00      2.65      0.00      0.00     94.33
01:10:51 AM     all      1.88      0.00      0.60      0.04      0.00     97.48
01:10:52 AM     all      1.98      0.00      0.50      0.01      0.00     97.51
01:10:53 AM     all      1.88      0.00      0.52      0.04      0.00     97.56
01:10:54 AM     all      2.47      0.00      0.49      0.04      0.00     97.01
01:10:55 AM     all      3.66      0.00      3.53      0.01      0.00     92.80
01:10:56 AM     all      1.73      0.00      0.63      0.04      0.00     97.60
01:10:57 AM     all      2.06      0.00      0.54      0.04      0.00     97.36
01:10:58 AM     all      1.87      0.00      0.58      0.03      0.00     97.52
01:10:59 AM     all      1.71      0.00      0.42      0.00      0.00     97.87
01:11:00 AM     all      3.43      0.00      3.25      0.04      0.00     93.28
01:11:01 AM     all      1.96      0.00      0.64      0.10      0.00     97.30
01:11:02 AM     all      1.84      0.00      0.43      0.06      0.00     97.67
01:11:03 AM     all      1.92      0.00      0.44      0.06      0.00     97.58
01:11:04 AM     all      1.98      0.00      0.46      0.07      0.00     97.49
01:11:05 AM     all      1.97      0.00      0.38      0.01      0.00     97.64
01:11:06 AM     all      3.72      0.00      3.13      0.08      0.00     93.07
01:11:07 AM     all      1.91      0.00      0.47      0.06      0.00     97.56
01:11:08 AM     all      2.11      0.00      0.49      0.08      0.00     97.32
01:11:09 AM     all      2.46      0.00      0.60      0.11      0.00     96.83
01:11:10 AM     all      0.92      0.00     48.43      0.10      0.00     50.56
01:11:11 AM     all      1.81      0.00     70.24      0.13      0.00     27.82
01:11:12 AM     all      3.98      0.00     26.19      0.08      0.00     69.75
01:11:13 AM     all      1.89      0.00      0.56      0.08      0.00     97.47
01:11:14 AM     all      2.57      0.00      0.54      0.03      0.00     96.86
01:11:15 AM     all      2.07      0.00      0.26      0.00      0.00     97.66
01:11:16 AM     all      1.78      0.00      0.19      0.01      0.00     98.01
01:11:17 AM     all      3.22      0.00      2.79      0.00      0.00     93.99
01:11:18 AM     all      1.63      0.00      0.26      0.00      0.00     98.11
01:11:19 AM     all      1.71      0.00      0.17      0.00      0.00     98.12
01:11:20 AM     all      1.76      0.00      0.22      0.00      0.00     98.01
01:11:21 AM     all      1.89      0.00      0.15      0.00      0.00     97.96
01:11:22 AM     all      2.64      0.00      1.29      0.00      0.00     96.07
01:11:23 AM     all      2.53      0.00      1.90      0.00      0.00     95.58
01:11:24 AM     all      2.47      0.00      0.47      0.01      0.00     97.04
01:11:25 AM     all      1.63      0.00      0.04      0.00      0.00     98.33
01:11:26 AM     all      1.75      0.00      0.21      0.01      0.00     98.03
01:11:27 AM     all      1.68      0.00      0.03      0.00      0.00     98.29
01:11:28 AM     all      3.34      0.00      3.00      0.00      0.00     93.66
01:11:29 AM     all      1.70      0.00      0.11      0.00      0.00     98.19
01:11:30 AM     all      1.74      0.00      0.11      0.00      0.00     98.15
01:11:31 AM     all      1.81      0.00      0.15      0.01      0.00     98.03
01:11:32 AM     all      1.67      0.00      0.11      0.01      0.00     98.21
01:11:33 AM     all      3.44      0.00      2.74      0.00      0.00     93.82
01:11:34 AM     all      1.74      0.00      0.10      0.00      0.00     98.16
01:11:35 AM     all      1.78      0.00      0.11      0.00      0.00     98.11
01:11:36 AM     all      1.76      0.00      0.06      0.00      0.00     98.18
01:11:37 AM     all      1.78      0.00      0.06      0.00      0.00     98.17
01:11:38 AM     all      2.11      0.00      0.42      0.00      0.00     97.47
01:11:39 AM     all      3.78      0.00      2.63      0.00      0.00     93.58
01:11:40 AM     all      1.65      0.00      0.07      0.00      0.00     98.28
01:11:41 AM     all      1.89      0.00      0.03      0.00      0.00     98.08
01:11:42 AM     all      1.67      0.00      0.11      0.00      0.00     98.22
01:11:43 AM     all      1.65      0.00      0.08      0.01      0.00     98.25
01:11:44 AM     all      3.30      0.00      2.99      0.00      0.00     93.71
01:11:45 AM     all      2.28      0.00      0.13      0.01      0.00     97.58
01:11:46 AM     all      1.99      0.00      0.57      0.01      0.00     97.43
01:11:47 AM     all      2.14      0.00      0.58      0.01      0.00     97.26
01:11:48 AM     all      1.79      0.00      0.47      0.03      0.00     97.71
01:11:49 AM     all      3.41      0.00      2.88      0.03      0.00     93.69
01:11:50 AM     all      2.13      0.00      0.81      0.04      0.00     97.02
01:11:51 AM     all      1.88      0.00      0.46      0.04      0.00     97.61
01:11:52 AM     all      1.86      0.00      0.76      0.01      0.00     97.36
01:11:53 AM     all      2.10      0.00      0.47      0.01      0.00     97.42
01:11:54 AM     all      2.52      0.00      0.77      0.06      0.00     96.66
01:11:55 AM     all      3.32      0.00      3.48      0.06      0.00     93.14
