Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

02:57:46 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:57:47 PM     all      0.89      0.00     65.05      0.00      0.00     34.06
02:57:48 PM     all      3.26      0.00      2.96      0.00      0.00     93.78
02:57:49 PM     all      3.64      0.00      0.56      0.03      0.00     95.78
02:57:50 PM     all      3.52      0.00      0.67      0.00      0.00     95.81
02:57:51 PM     all      2.98      0.00      0.43      0.00      0.00     96.59
02:57:52 PM     all      7.52      0.00      0.93      0.15      0.00     91.40
02:57:53 PM     all      9.41      0.00      3.37      0.00      0.00     87.21
02:57:54 PM     all      9.85      0.00      1.17      0.00      0.00     88.97
02:57:55 PM     all      8.73      0.00      1.06      0.00      0.00     90.21
02:57:56 PM     all      9.02      0.00      1.50      0.03      0.00     89.45
02:57:57 PM     all      6.57      0.00      1.09      0.00      0.00     92.35
02:57:58 PM     all      8.86      0.00      4.19      0.08      0.00     86.87
02:57:59 PM     all      7.20      0.00      1.38      0.00      0.00     91.42
02:58:00 PM     all      8.61      0.00      1.52      0.00      0.00     89.87
02:58:01 PM     all      7.57      0.00      1.46      0.01      0.00     90.95
02:58:02 PM     all      6.44      0.00      1.13      0.00      0.00     92.43
02:58:03 PM     all      6.52      0.00      1.35      0.00      0.00     92.13
02:58:04 PM     all      7.72      0.00      3.99      0.00      0.00     88.29
02:58:05 PM     all      5.97      0.00      0.99      0.00      0.00     93.04
02:58:06 PM     all      7.56      0.00      0.91      0.01      0.00     91.52
02:58:07 PM     all      6.18      0.00      1.17      0.00      0.00     92.65
02:58:08 PM     all      6.11      0.00      1.23      0.01      0.00     92.65
02:58:09 PM     all      7.76      0.00      4.22      0.01      0.00     88.00
02:58:10 PM     all      6.20      0.00      0.95      0.00      0.00     92.85
02:58:11 PM     all      6.15      0.00      1.10      0.00      0.00     92.75
02:58:12 PM     all      5.47      0.00      1.10      0.00      0.00     93.43
02:58:13 PM     all      5.42      0.00      1.13      0.00      0.00     93.45
02:58:14 PM     all      5.84      0.00      2.44      0.01      0.00     91.71
02:58:15 PM     all      6.07      0.00      2.27      0.01      0.00     91.64
02:58:16 PM     all      6.05      0.00      0.82      0.00      0.00     93.12
02:58:17 PM     all      5.72      0.00      0.81      0.00      0.00     93.47
02:58:18 PM     all      5.17      0.00      1.06      0.01      0.00     93.76
02:58:19 PM     all      5.27      0.00      1.13      0.00      0.00     93.61
02:58:20 PM     all      7.57      0.00      3.76      0.01      0.00     88.66
02:58:21 PM     all      5.57      0.00      0.81      0.01      0.00     93.61
02:58:22 PM     all      5.32      0.00      0.90      0.01      0.00     93.76
02:58:23 PM     all      5.79      0.00      1.07      0.00      0.00     93.13
02:58:24 PM     all      5.67      0.00      1.19      0.00      0.00     93.14
02:58:25 PM     all      6.99      0.00      3.52      0.01      0.00     89.47
02:58:26 PM     all      5.71      0.00      0.94      0.03      0.00     93.32
02:58:27 PM     all      5.51      0.00      0.83      0.00      0.00     93.66
02:58:28 PM     all      4.95      0.00      1.08      0.00      0.00     93.96
02:58:29 PM     all      5.66      0.00      1.29      0.00      0.00     93.04
02:58:30 PM     all      4.79      0.00      1.42      0.00      0.00     93.79
02:58:31 PM     all      6.61      0.00      3.10      0.01      0.00     90.28
02:58:32 PM     all      5.93      0.00      0.74      0.00      0.00     93.33
02:58:33 PM     all      5.20      0.00      1.15      0.00      0.00     93.64
02:58:34 PM     all      5.08      0.00      1.20      0.01      0.00     93.71
02:58:35 PM     all      5.82      0.00      0.90      0.00      0.00     93.28
02:58:36 PM     all      6.95      0.00      3.62      0.00      0.00     89.42
02:58:37 PM     all      5.51      0.00      0.86      0.00      0.00     93.62
02:58:38 PM     all      4.83      0.00      0.90      0.00      0.00     94.27
02:58:39 PM     all      5.88      0.00      1.42      0.01      0.00     92.69
02:58:40 PM     all      5.02      0.00      1.15      0.00      0.00     93.83
02:58:41 PM     all      7.04      0.00      3.55      0.03      0.00     89.39
02:58:42 PM     all      5.63      0.00      1.18      0.00      0.00     93.19
02:58:43 PM     all      5.74      0.00      0.92      0.00      0.00     93.34
02:58:44 PM     all      4.74      0.00      1.06      0.00      0.00     94.20
02:58:45 PM     all      5.38      0.00      1.25      0.00      0.00     93.37
02:58:46 PM     all      5.39      0.00      1.06      0.01      0.00     93.53
02:58:47 PM     all      7.40      0.00      4.18      0.00      0.00     88.42
02:58:48 PM     all      5.83      0.00      1.35      0.00      0.00     92.82
02:58:49 PM     all      5.74      0.00      1.07      0.00      0.00     93.19
02:58:50 PM     all      5.08      0.00      1.29      0.00      0.00     93.63
02:58:51 PM     all      5.54      0.00      1.30      0.01      0.00     93.15
02:58:52 PM     all      6.88      0.00      3.90      0.00      0.00     89.22
02:58:53 PM     all      5.44      0.00      1.13      0.00      0.00     93.43
02:58:54 PM     all      5.96      0.00      1.54      0.00      0.00     92.50
02:58:55 PM     all      5.22      0.00      1.14      0.01      0.00     93.62
02:58:56 PM     all      5.47      0.00      1.41      0.03      0.00     93.09
02:58:57 PM     all      6.06      0.00      1.79      0.01      0.00     92.14
02:58:58 PM     all      6.72      0.00      3.22      0.00      0.00     90.05
02:58:59 PM     all      4.81      0.00      1.35      0.00      0.00     93.84
02:59:00 PM     all      5.83      0.00      1.32      0.00      0.00     92.85
02:59:01 PM     all      4.91      0.00      1.28      0.01      0.00     93.79
02:59:02 PM     all      5.77      0.00      1.20      0.00      0.00     93.03
02:59:03 PM     all      7.73      0.00      3.70      0.00      0.00     88.57
02:59:04 PM     all      5.35      0.00      1.39      0.00      0.00     93.25
02:59:05 PM     all      5.51      0.00      1.19      0.00      0.00     93.31
02:59:06 PM     all      5.48      0.00      1.24      0.04      0.00     93.24
02:59:07 PM     all      5.19      0.00      0.92      0.00      0.00     93.89
02:59:08 PM     all      7.70      0.00      3.61      0.03      0.00     88.66
02:59:09 PM     all      5.37      0.00      1.43      0.01      0.00     93.18
02:59:10 PM     all      4.93      0.00      1.32      0.00      0.00     93.75
02:59:11 PM     all      6.00      0.00      1.00      0.00      0.00     92.99
02:59:12 PM     all      5.65      0.00      1.11      0.03      0.00     93.21
02:59:13 PM     all      6.02      0.00      1.08      0.01      0.00     92.88
02:59:14 PM     all      6.39      0.00      3.59      0.00      0.00     90.02
02:59:15 PM     all      5.34      0.00      1.21      0.00      0.00     93.45
02:59:16 PM     all      5.70      0.00      1.17      0.01      0.00     93.12
02:59:17 PM     all      5.34      0.00      1.03      0.04      0.00     93.59
02:59:18 PM     all      5.80      0.00      0.89      0.00      0.00     93.31
02:59:19 PM     all      7.08      0.00      3.71      0.00      0.00     89.21
02:59:20 PM     all      5.07      0.00      1.09      0.01      0.00     93.83
02:59:21 PM     all      5.32      0.00      1.16      0.01      0.00     93.51
02:59:22 PM     all      5.42      0.00      1.10      0.03      0.00     93.46
02:59:23 PM     all      5.49      0.00      1.03      0.00      0.00     93.48
02:59:24 PM     all      7.06      0.00      3.02      0.03      0.00     89.89
02:59:25 PM     all      5.66      0.00      1.74      0.00      0.00     92.60
02:59:26 PM     all      5.56      0.00      1.26      0.00      0.00     93.18
02:59:27 PM     all      5.19      0.00      0.92      0.01      0.00     93.87
02:59:28 PM     all      5.39      0.00      0.89      0.00      0.00     93.72
02:59:29 PM     all      5.63      0.00      0.99      0.00      0.00     93.38
02:59:30 PM     all      6.97      0.00      3.55      0.00      0.00     89.48
02:59:31 PM     all      4.88      0.00      1.17      0.01      0.00     93.93
02:59:32 PM     all      5.53      0.00      0.99      0.00      0.00     93.48
02:59:33 PM     all      5.34      0.00      0.97      0.00      0.00     93.68
02:59:34 PM     all      5.47      0.00      0.95      0.01      0.00     93.57
02:59:35 PM     all      6.90      0.00      3.96      0.01      0.00     89.12
02:59:36 PM     all      5.29      0.00      0.97      0.01      0.00     93.72
02:59:37 PM     all      5.11      0.00      1.21      0.01      0.00     93.66
02:59:38 PM     all      5.70      0.00      0.82      0.00      0.00     93.48
02:59:39 PM     all      4.47      0.00      1.10      0.00      0.00     94.43
02:59:40 PM     all      0.91      0.00      2.10      0.01      0.00     96.98
02:59:41 PM     all      2.16      0.00     68.86      0.00      0.00     28.98
02:59:42 PM     all      0.15      0.00     66.92      0.00      0.00     32.92
02:59:43 PM     all      1.75      0.00      3.01      0.00      0.00     95.24
02:59:44 PM     all      3.22      0.00      0.33      0.00      0.00     96.44
02:59:45 PM     all      3.77      0.00      0.50      0.00      0.00     95.73
02:59:46 PM     all      4.01      0.00      1.85      0.00      0.00     94.14
02:59:47 PM     all      7.57      0.00      2.36      0.17      0.00     89.90
02:59:48 PM     all      8.10      0.00      0.43      0.00      0.00     91.47
02:59:49 PM     all      8.29      0.00      0.64      0.00      0.00     91.07
02:59:50 PM     all      9.60      0.00      1.42      0.00      0.00     88.98
02:59:51 PM     all      7.72      0.00      0.99      0.01      0.00     91.27
02:59:52 PM     all     10.12      0.00      4.33      0.00      0.00     85.55
02:59:53 PM     all      7.02      0.00      1.17      0.07      0.00     91.74
02:59:54 PM     all      7.69      0.00      1.45      0.01      0.00     90.85
02:59:55 PM     all      7.26      0.00      1.09      0.00      0.00     91.66
02:59:56 PM     all      6.26      0.00      1.08      0.00      0.00     92.66
02:59:57 PM     all      8.34      0.00      4.04      0.01      0.00     87.61
02:59:58 PM     all      6.26      0.00      1.41      0.00      0.00     92.33
02:59:59 PM     all      6.79      0.00      1.35      0.00      0.00     91.86
03:00:00 PM     all      6.61      0.00      1.34      0.00      0.00     92.05
03:00:01 PM     all      7.65      0.00      1.34      0.01      0.00     91.00
03:00:02 PM     all      7.20      0.00      1.57      0.00      0.00     91.23
03:00:03 PM     all      8.38      0.00      3.89      0.20      0.00     87.54
03:00:04 PM     all      7.03      0.00      1.49      0.58      0.00     90.89
03:00:05 PM     all      6.45      0.00      1.03      0.00      0.00     92.52
03:00:06 PM     all      7.09      0.00      1.39      0.01      0.00     91.51
03:00:07 PM     all      6.13      0.00      1.00      0.00      0.00     92.87
03:00:08 PM     all      6.13      0.00      3.90      0.01      0.00     89.95
03:00:09 PM     all      6.08      0.00      1.52      0.03      0.00     92.38
03:00:10 PM     all      5.32      0.00      0.95      0.01      0.00     93.72
03:00:11 PM     all      5.63      0.00      1.13      0.01      0.00     93.23
03:00:12 PM     all      5.64      0.00      1.11      0.00      0.00     93.25
03:00:13 PM     all      6.59      0.00      3.28      0.01      0.00     90.12
03:00:14 PM     all      5.34      0.00      1.77      0.01      0.00     92.88
03:00:15 PM     all      5.70      0.00      1.10      0.00      0.00     93.20
03:00:16 PM     all      5.86      0.00      1.03      0.01      0.00     93.10
03:00:17 PM     all      5.52      0.00      1.03      0.00      0.00     93.45
03:00:18 PM     all      5.73      0.00      1.36      0.01      0.00     92.89
03:00:19 PM     all      6.29      0.00      3.54      0.00      0.00     90.17
03:00:20 PM     all      5.53      0.00      1.00      0.00      0.00     93.46
03:00:21 PM     all      5.41      0.00      0.97      0.01      0.00     93.60
03:00:22 PM     all      5.16      0.00      0.95      0.00      0.00     93.90
03:00:23 PM     all      5.28      0.00      1.07      0.00      0.00     93.65
03:00:24 PM     all      6.55      0.00      3.69      0.03      0.00     89.73
03:00:25 PM     all      5.83      0.00      1.03      0.00      0.00     93.14
03:00:26 PM     all      5.56      0.00      0.85      0.01      0.00     93.58
03:00:27 PM     all      5.21      0.00      0.92      0.00      0.00     93.87
03:00:28 PM     all      5.24      0.00      1.11      0.00      0.00     93.65
03:00:29 PM     all      5.61      0.00      1.82      0.01      0.00     92.55
03:00:30 PM     all      6.49      0.00      3.12      0.00      0.00     90.39
03:00:31 PM     all      5.81      0.00      0.93      0.00      0.00     93.26
03:00:32 PM     all      5.39      0.00      0.85      0.00      0.00     93.76
03:00:33 PM     all      4.90      0.00      1.17      0.00      0.00     93.94
03:00:34 PM     all      5.52      0.00      0.95      0.01      0.00     93.52
03:00:35 PM     all      6.08      0.00      3.71      0.00      0.00     90.21
03:00:36 PM     all      5.65      0.00      0.82      0.01      0.00     93.51
03:00:37 PM     all      5.28      0.00      0.97      0.00      0.00     93.75
03:00:38 PM     all      5.04      0.00      1.02      0.00      0.00     93.95
03:00:39 PM     all      6.05      0.00      1.38      0.00      0.00     92.57
03:00:40 PM     all      6.22      0.00      3.55      0.00      0.00     90.23
03:00:41 PM     all      5.68      0.00      0.99      0.00      0.00     93.33
03:00:42 PM     all      5.35      0.00      1.04      0.00      0.00     93.60
03:00:43 PM     all      5.18      0.00      1.13      0.00      0.00     93.69
03:00:44 PM     all      5.28      0.00      1.14      0.00      0.00     93.58
03:00:45 PM     all      5.40      0.00      1.04      0.00      0.00     93.56
03:00:46 PM     all      6.98      0.00      3.87      0.00      0.00     89.15
03:00:47 PM     all      5.91      0.00      1.03      0.00      0.00     93.06
03:00:48 PM     all      5.06      0.00      1.14      0.00      0.00     93.80
03:00:49 PM     all      4.78      0.00      1.32      0.00      0.00     93.89
03:00:50 PM     all      5.47      0.00      1.17      0.00      0.00     93.36
03:00:51 PM     all      7.22      0.00      4.13      0.00      0.00     88.66
03:00:52 PM     all      5.47      0.00      1.03      0.00      0.00     93.50
03:00:53 PM     all      4.81      0.00      1.25      0.00      0.00     93.94
03:00:54 PM     all      5.63      0.00      1.59      0.00      0.00     92.78
03:00:55 PM     all      5.36      0.00      1.23      0.00      0.00     93.41
