Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

03:05:32 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:05:33 PM     all      0.21      0.00     66.92      0.00      0.00     32.87
03:05:34 PM     all      1.70      0.00      9.61      0.00      0.00     88.70
03:05:35 PM     all      2.87      0.00      0.49      0.15      0.00     96.49
03:05:36 PM     all      4.32      0.00      3.03      0.00      0.00     92.64
03:05:37 PM     all      3.17      0.00      0.39      0.00      0.00     96.44
03:05:38 PM     all     20.45      0.00      4.41      0.00      0.00     75.14
03:05:39 PM     all     34.94      0.00      3.12      0.00      0.00     61.94
03:05:40 PM     all     78.38      0.00      7.76      0.00      0.00     13.86
03:05:41 PM     all     33.19      0.00      8.70      0.07      0.00     58.04
03:05:42 PM     all     41.39      0.00      4.58      0.00      0.00     54.04
03:05:43 PM     all     43.17      0.00      2.31      0.00      0.00     54.52
03:05:44 PM     all     45.96      0.00      2.01      0.00      0.00     52.02
03:05:45 PM     all     44.57      0.00      1.85      0.00      0.00     53.58
03:05:46 PM     all     27.64      0.00      2.24      0.06      0.00     70.07
03:05:47 PM     all      1.65      0.00     69.48      0.00      0.00     28.87
03:05:48 PM     all      1.38      0.00     69.35      0.00      0.00     29.27
03:05:49 PM     all      1.91      0.00      3.94      0.00      0.00     94.15
03:05:50 PM     all      3.39      0.00      0.65      0.00      0.00     95.95
03:05:51 PM     all      2.99      0.00      0.71      0.17      0.00     96.14
03:05:52 PM     all      3.57      0.00      0.45      0.01      0.00     95.97
03:05:53 PM     all     21.85      0.00     10.28      0.01      0.00     67.86
03:05:54 PM     all     39.09      0.00      4.43      0.00      0.00     56.48
03:05:55 PM     all     66.67      0.00      6.91      0.00      0.00     26.42
03:05:56 PM     all     36.93      0.00      6.34      0.00      0.00     56.73
03:05:57 PM     all     43.30      0.00      2.32      0.39      0.00     53.99
03:05:58 PM     all     41.46      0.00      2.84      0.01      0.00     55.68
03:05:59 PM     all     47.07      0.00      5.08      0.00      0.00     47.84
03:06:00 PM     all     47.29      0.00      2.18      0.00      0.00     50.53
03:06:01 PM     all     12.67      0.00     24.27      0.00      0.00     63.05
03:06:02 PM     all      0.39      0.00     67.32      0.00      0.00     32.29
03:06:03 PM     all      1.00      0.00     43.36      0.00      0.00     55.64
03:06:04 PM     all      3.74      0.00      3.29      0.00      0.00     92.97
03:06:05 PM     all      3.53      0.00      0.59      0.00      0.00     95.89
03:06:06 PM     all      3.07      0.00      0.78      0.00      0.00     96.15
03:06:07 PM     all      3.69      0.00      0.63      0.00      0.00     95.68
03:06:08 PM     all     20.73      0.00     11.99      0.00      0.00     67.28
03:06:09 PM     all     63.79      0.00      8.59      0.00      0.00     27.63
03:06:10 PM     all     48.13      0.00      7.20      0.00      0.00     44.67
03:06:11 PM     all     48.90      0.00      9.31      0.00      0.00     41.79
03:06:12 PM     all     38.94      0.00      2.41      0.00      0.00     58.65
03:06:13 PM     all     47.01      0.00      2.98      0.14      0.00     49.87
03:06:14 PM     all     44.73      0.00      2.02      0.00      0.00     53.25
03:06:15 PM     all     44.36      0.00      2.83      0.00      0.00     52.81
03:06:16 PM     all      1.33      0.00      2.64      0.00      0.00     96.04


Average:        all     25.57      0.00     11.20      0.02      0.00     63.20
