Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:17:28 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:17:29 AM     all      1.13      0.00     36.64      0.01      0.00     62.22
01:17:30 AM     all      2.81      0.00      0.36      0.00      0.00     96.83
01:17:31 AM     all      3.80      0.00      0.68      0.12      0.00     95.39
01:17:32 AM     all      4.88      0.00      2.85      0.00      0.00     92.27
01:17:33 AM     all      2.78      0.00      0.19      0.00      0.00     97.03
01:17:34 AM     all      4.83      0.00      0.14      0.00      0.00     95.03
01:17:35 AM     all      6.60      0.00      0.15      0.06      0.00     93.19
01:17:36 AM     all      4.08      0.00      0.17      0.01      0.00     95.74
01:17:37 AM     all     10.76      0.00      4.87      0.00      0.00     84.37
01:17:38 AM     all      3.18      0.00      0.07      0.00      0.00     96.75
01:17:39 AM     all      2.66      0.00      0.35      0.04      0.00     96.95
01:17:40 AM     all      5.03      0.00      0.24      0.03      0.00     94.71
01:17:41 AM     all      4.28      0.00      0.15      0.01      0.00     95.55
01:17:42 AM     all      8.81      0.00      2.38      0.01      0.00     88.80
01:17:43 AM     all     10.18      0.00      1.40      0.00      0.00     88.43
01:17:44 AM     all      4.34      0.00      0.25      0.00      0.00     95.41
01:17:45 AM     all      5.01      0.00      0.22      0.00      0.00     94.76
01:17:46 AM     all      4.45      0.00      0.61      0.01      0.00     94.92
01:17:47 AM     all      3.80      0.00      0.56      0.00      0.00     95.64
01:17:48 AM     all      5.60      0.00      3.70      0.01      0.00     90.68
01:17:49 AM     all      3.66      0.00      0.54      0.00      0.00     95.79
01:17:50 AM     all      3.93      0.00      0.61      0.00      0.00     95.46
01:17:51 AM     all      4.71      0.00      0.79      0.01      0.00     94.48
01:17:52 AM     all      4.06      0.00      0.79      0.00      0.00     95.14
01:17:53 AM     all      6.06      0.00      3.20      0.00      0.00     90.75
01:17:54 AM     all      4.33      0.00      0.75      0.00      0.00     94.92
01:17:55 AM     all      3.74      0.00      0.60      0.00      0.00     95.66
01:17:56 AM     all      3.71      0.00      0.63      0.01      0.00     95.65
01:17:57 AM     all      3.54      0.00      0.53      0.00      0.00     95.93
01:17:58 AM     all      3.84      0.00      1.27      0.00      0.00     94.89
01:17:59 AM     all      4.87      0.00      2.92      0.03      0.00     92.18
01:18:00 AM     all      3.69      0.00      0.58      0.04      0.00     95.69
01:18:01 AM     all      3.74      0.00      0.45      0.01      0.00     95.80
01:18:02 AM     all      3.81      0.00      0.46      0.00      0.00     95.73
01:18:03 AM     all      3.27      0.00      0.38      0.07      0.00     96.28
01:18:04 AM     all      2.73      0.00     52.99      0.03      0.00     44.26
01:18:05 AM     all      1.67      0.00     69.89      0.00      0.00     28.45
01:18:06 AM     all      1.78      0.00     23.17      0.01      0.00     75.03
01:18:07 AM     all      3.73      0.00      0.63      0.10      0.00     95.55
01:18:08 AM     all      4.16      0.00      0.97      0.00      0.00     94.87
01:18:09 AM     all      3.58      0.00      0.79      0.04      0.00     95.58
01:18:10 AM     all      6.36      0.00      3.42      0.01      0.00     90.21
01:18:11 AM     all      6.71      0.00      0.15      0.03      0.00     93.11
01:18:12 AM     all      3.80      0.00      0.14      0.06      0.00     96.01
01:18:13 AM     all      3.23      0.00      0.10      0.00      0.00     96.67
01:18:14 AM     all      9.92      0.00      0.10      0.00      0.00     89.98
01:18:15 AM     all      2.44      0.00      0.26      0.00      0.00     97.29
01:18:16 AM     all      3.49      0.00      2.61      0.07      0.00     93.84
01:18:17 AM     all      5.97      0.00      0.25      0.00      0.00     93.78
01:18:18 AM     all      3.70      0.00      0.11      0.00      0.00     96.19
01:18:19 AM     all     10.42      0.00      0.40      0.00      0.00     89.17
01:18:20 AM     all      6.03      0.00      0.40      0.00      0.00     93.57
01:18:21 AM     all      6.61      0.00      2.86      0.00      0.00     90.53
01:18:22 AM     all      3.88      0.00      0.14      0.00      0.00     95.98
01:18:23 AM     all      3.60      0.00      0.29      0.00      0.00     96.11
01:18:24 AM     all      4.28      0.00      0.24      0.00      0.00     95.48
01:18:25 AM     all      3.68      0.00      0.24      0.00      0.00     96.08
01:18:26 AM     all      5.34      0.00      2.35      0.01      0.00     92.29
01:18:27 AM     all      4.44      0.00      0.82      0.00      0.00     94.74
01:18:28 AM     all      4.33      0.00      0.19      0.00      0.00     95.47
01:18:29 AM     all      4.02      0.00      0.06      0.00      0.00     95.93
01:18:30 AM     all      3.68      0.00      0.31      0.00      0.00     96.01
01:18:31 AM     all      3.45      0.00      0.10      0.03      0.00     96.42
01:18:32 AM     all      5.05      0.00      2.87      0.00      0.00     92.08
01:18:33 AM     all      3.47      0.00      0.15      0.00      0.00     96.38
01:18:34 AM     all      3.29      0.00      0.14      0.00      0.00     96.57
01:18:35 AM     all      3.63      0.00      0.18      0.00      0.00     96.19
01:18:36 AM     all      3.75      0.00      0.15      0.03      0.00     96.07
01:18:37 AM     all      4.84      0.00      2.98      0.00      0.00     92.19
01:18:38 AM     all      3.28      0.00      0.03      0.00      0.00     96.69
01:18:39 AM     all      3.92      0.00      0.17      0.01      0.00     95.90
01:18:40 AM     all      2.01      0.00      9.52      0.07      0.00     88.40
01:18:41 AM     all      0.18      0.00     66.95      0.01      0.00     32.86
