Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

03:06:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:06:54 PM     all      6.58      0.00      2.28      0.01      0.00     91.13
03:06:55 PM     all      6.48      0.00      0.36      0.00      0.00     93.16
03:06:56 PM     all      8.12      0.00      0.29      0.01      0.00     91.58
03:06:57 PM     all      4.87      0.00      0.37      0.15      0.00     94.61
03:06:58 PM     all      6.22      0.00      0.45      0.00      0.00     93.34
03:06:59 PM     all      9.13      0.00      3.07      0.00      0.00     87.80
03:07:00 PM     all      6.32      0.00      0.36      0.00      0.00     93.32
03:07:01 PM     all      6.88      0.00      0.32      0.01      0.00     92.79
03:07:02 PM     all      4.53      0.00      0.33      0.01      0.00     95.12
03:07:03 PM     all      8.70      0.00      0.29      0.00      0.00     91.01
03:07:04 PM     all      6.29      0.00      3.12      0.00      0.00     90.59
03:07:05 PM     all      6.54      0.00      0.26      0.00      0.00     93.19
03:07:06 PM     all      4.58      0.00      0.31      0.01      0.00     95.10
03:07:07 PM     all      7.08      0.00      0.43      0.10      0.00     92.39
03:07:08 PM     all      7.85      0.00      0.26      0.00      0.00     91.88
03:07:09 PM     all      5.94      0.00      0.58      0.00      0.00     93.47
03:07:10 PM     all      7.53      0.00      3.24      0.00      0.00     89.23
03:07:11 PM     all      4.59      0.00      0.25      0.00      0.00     95.16
03:07:12 PM     all      6.96      0.00      0.31      0.00      0.00     92.73
03:07:13 PM     all      7.42      0.00      0.08      0.03      0.00     92.47
03:07:14 PM     all      5.04      0.00      0.11      0.00      0.00     94.85
03:07:15 PM     all      6.67      0.00      2.95      0.00      0.00     90.38
03:07:16 PM     all      8.36      0.00      0.13      0.01      0.00     91.50
03:07:17 PM     all      4.90      0.00      0.17      0.00      0.00     94.94
03:07:18 PM     all      5.39      0.00      0.10      0.03      0.00     94.49
03:07:19 PM     all      8.04      0.00      0.15      0.01      0.00     91.80
03:07:20 PM     all      5.86      0.00      2.67      0.01      0.00     91.45
03:07:21 PM     all      6.02      0.00      0.40      0.01      0.00     93.56
03:07:22 PM     all      7.66      0.00      0.26      0.00      0.00     92.08
03:07:23 PM     all      4.47      0.00      0.12      0.00      0.00     95.40
03:07:24 PM     all      6.09      0.00      0.22      0.01      0.00     93.68
03:07:25 PM     all      8.85      0.00      0.11      0.00      0.00     91.04
03:07:26 PM     all      5.79      0.00      2.72      0.01      0.00     91.48
03:07:27 PM     all      8.20      0.00      0.11      0.00      0.00     91.69
03:07:28 PM     all      4.41      0.00      0.06      0.00      0.00     95.54
03:07:29 PM     all      5.73      0.00      0.07      0.00      0.00     94.20
03:07:30 PM     all      4.25      0.00      0.18      0.00      0.00     95.57
03:07:31 PM     all      9.53      0.00      2.90      0.01      0.00     87.56
03:07:32 PM     all      5.43      0.00      0.22      0.00      0.00     94.34
03:07:33 PM     all      8.76      0.00      0.10      0.03      0.00     91.11
03:07:34 PM     all      4.32      0.00      0.10      0.00      0.00     95.58
03:07:35 PM     all      5.99      0.00      0.17      0.00      0.00     93.84
03:07:36 PM     all      8.65      0.00      1.53      0.00      0.00     89.82
