Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:13:02 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:13:03 AM     all      0.32      0.00     67.80      0.04      0.00     31.84
01:13:04 AM     all      3.98      0.00      3.66      0.01      0.00     92.35
01:13:05 AM     all      3.30      0.00      3.09      0.01      0.00     93.59
01:13:06 AM     all      2.96      0.00      0.56      0.04      0.00     96.44
01:13:07 AM     all      1.98      0.00      0.53      0.10      0.00     97.40
01:13:08 AM     all      2.58      0.00      0.42      0.06      0.00     96.95
01:13:09 AM     all      2.49      0.00      0.67      0.07      0.00     96.78
01:13:10 AM     all      4.22      0.00      3.09      0.06      0.00     92.63
01:13:11 AM     all      2.20      0.00      0.45      0.10      0.00     97.26
01:13:12 AM     all      2.65      0.00      0.52      0.13      0.00     96.71
01:13:13 AM     all      2.20      0.00      0.45      0.06      0.00     97.30
01:13:14 AM     all      2.43      0.00      0.31      0.13      0.00     97.13
01:13:15 AM     all      3.87      0.00      2.75      0.10      0.00     93.28
01:13:16 AM     all      2.69      0.00      1.16      0.04      0.00     96.11
01:13:17 AM     all      2.68      0.00      0.32      0.10      0.00     96.90
01:13:18 AM     all      2.05      0.00      0.53      0.03      0.00     97.39
01:13:19 AM     all      2.66      0.00      0.53      0.01      0.00     96.80
01:13:20 AM     all      2.43      0.00      0.58      0.01      0.00     96.97
01:13:21 AM     all      4.09      0.00      2.84      0.01      0.00     93.06
01:13:22 AM     all      1.76      0.00      0.10      0.00      0.00     98.14
01:13:23 AM     all      2.25      0.00      0.06      0.01      0.00     97.68
01:13:24 AM     all      2.25      0.00      0.47      0.01      0.00     97.26
01:13:25 AM     all      2.18      0.00      0.17      0.00      0.00     97.65
01:13:26 AM     all      3.38      0.00      2.87      0.01      0.00     93.74
01:13:27 AM     all      2.31      0.00      0.08      0.00      0.00     97.61
01:13:28 AM     all      1.83      0.00      0.03      0.00      0.00     98.14
01:13:29 AM     all      2.21      0.00      0.07      0.00      0.00     97.72
01:13:30 AM     all      2.04      0.00      0.14      0.00      0.00     97.82
01:13:31 AM     all      2.46      0.00      0.60      0.01      0.00     96.93
01:13:32 AM     all      3.49      0.00      2.23      0.01      0.00     94.26
01:13:33 AM     all      1.98      0.00      0.06      0.00      0.00     97.96
01:13:34 AM     all      2.33      0.00      0.11      0.00      0.00     97.55
01:13:35 AM     all      1.60      0.00      0.06      0.00      0.00     98.34
01:13:36 AM     all      2.60      0.00      0.07      0.00      0.00     97.33
01:13:37 AM     all      3.44      0.00      3.15      0.00      0.00     93.41
01:13:38 AM     all      2.40      0.00      0.17      0.00      0.00     97.43
01:13:39 AM     all      2.42      0.00      0.24      0.00      0.00     97.35
01:13:40 AM     all      2.21      0.00      0.07      0.00      0.00     97.72
01:13:41 AM     all      1.92      0.00      0.08      0.00      0.00     98.00
01:13:42 AM     all      1.03      0.00     64.97      0.00      0.00     34.00
01:13:43 AM     all      2.03      0.00     70.05      0.01      0.00     27.90
01:13:44 AM     all      3.53      0.00      8.85      0.00      0.00     87.62
01:13:45 AM     all      1.88      0.00      0.11      0.00      0.00     98.01
01:13:46 AM     all      3.20      0.00      0.63      0.04      0.00     96.13
01:13:47 AM     all      2.04      0.00      0.43      0.01      0.00     97.51
01:13:48 AM     all      4.19      0.00      3.39      0.01      0.00     92.40
01:13:49 AM     all      2.46      0.00      0.76      0.03      0.00     96.75
01:13:50 AM     all      2.31      0.00      0.56      0.01      0.00     97.12
01:13:51 AM     all      2.55      0.00      0.54      0.01      0.00     96.90
01:13:52 AM     all      1.93      0.00      0.74      0.04      0.00     97.29
01:13:53 AM     all      2.52      0.00      0.49      0.00      0.00     96.99
01:13:54 AM     all      4.32      0.00      3.66      0.01      0.00     92.01
01:13:55 AM     all      2.58      0.00      0.51      0.00      0.00     96.90
01:13:56 AM     all      1.95      0.00      0.60      0.00      0.00     97.45
01:13:57 AM     all      2.59      0.00      0.53      0.00      0.00     96.88
01:13:58 AM     all      1.93      0.00      0.60      0.00      0.00     97.47
01:13:59 AM     all      4.17      0.00      3.42      0.00      0.00     92.41
01:14:00 AM     all      1.98      0.00      0.53      0.00      0.00     97.49
01:14:01 AM     all      2.48      0.00      0.50      0.00      0.00     97.02
01:14:02 AM     all      2.52      0.00      0.50      0.00      0.00     96.98
01:14:03 AM     all      2.34      0.00      0.56      0.00      0.00     97.11
01:14:04 AM     all      3.39      0.00      1.38      0.00      0.00     95.22
01:14:05 AM     all      3.14      0.00      2.48      0.00      0.00     94.38
01:14:06 AM     all      2.49      0.00      0.35      0.01      0.00     97.15
01:14:07 AM     all      2.18      0.00      0.53      0.01      0.00     97.27
01:14:08 AM     all      3.06      0.00      0.68      0.00      0.00     96.26
01:14:09 AM     all      2.50      0.00      0.21      0.01      0.00     97.28
01:14:10 AM     all      3.97      0.00      2.69      0.00      0.00     93.34
01:14:11 AM     all      1.96      0.00      0.11      0.01      0.00     97.92
01:14:12 AM     all      2.28      0.00      0.10      0.00      0.00     97.62
01:14:13 AM     all      2.05      0.00      0.04      0.00      0.00     97.90
01:14:14 AM     all      1.96      0.00      0.17      0.00      0.00     97.87
01:14:15 AM     all      3.72      0.00      2.61      0.00      0.00     93.67
01:14:16 AM     all      1.82      0.00      0.15      0.03      0.00     98.00
