Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:27:26 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:27 AM     all     87.65      0.00      1.76      0.00      0.00     10.59
01:27:28 AM     all     88.29      0.00      1.28      0.00      0.00     10.43
01:27:29 AM     all     88.04      0.00      1.33      0.00      0.00     10.63
01:27:30 AM     all     88.33      0.00      1.26      0.00      0.00     10.40
01:27:31 AM     all     85.37      0.00      5.57      0.00      0.00      9.06
01:27:32 AM     all     74.68      0.00      1.91      0.00      0.00     23.41
01:27:33 AM     all     87.13      0.00      1.19      0.00      0.00     11.68
01:27:34 AM     all     86.89      0.00      1.37      0.00      0.00     11.74
01:27:35 AM     all     87.29      0.00      1.16      0.00      0.00     11.55
01:27:36 AM     all     87.05      0.00      1.31      0.00      0.00     11.64
01:27:37 AM     all     78.29      0.00      6.66      0.00      0.00     15.05
01:27:38 AM     all     84.80      0.00      0.79      0.00      0.00     14.41
01:27:39 AM     all     91.34      0.00      1.05      0.00      0.00      7.61
01:27:40 AM     all     91.41      0.00      0.94      0.00      0.00      7.66
01:27:41 AM     all     91.87      0.00      0.81      0.01      0.00      7.30
01:27:42 AM     all     90.15      0.00      2.32      0.00      0.00      7.53
01:27:43 AM     all     84.33      0.00      4.16      0.00      0.00     11.50
01:27:44 AM     all     91.61      0.00      0.97      0.00      0.00      7.43
01:27:45 AM     all     91.61      0.00      1.46      0.01      0.00      6.91
01:27:46 AM     all     92.20      0.00      1.47      0.00      0.00      6.33
01:27:47 AM     all     91.63      0.00      1.69      0.00      0.00      6.68
01:27:48 AM     all     80.39      0.00      6.84      0.00      0.00     12.78
01:27:49 AM     all     91.60      0.00      1.86      0.00      0.00      6.54
01:27:50 AM     all     91.74      0.00      1.61      0.00      0.00      6.65
01:27:51 AM     all     91.58      0.00      1.45      0.01      0.00      6.95
01:27:52 AM     all     91.37      0.00      1.79      0.00      0.00      6.84
01:27:53 AM     all     84.35      0.00      1.55      0.00      0.00     14.10
01:27:54 AM     all     85.67      0.00      7.59      0.03      0.00      6.71
01:27:55 AM     all     90.63      0.00      1.54      0.00      0.00      7.83
01:27:56 AM     all     90.84      0.00      1.49      0.00      0.00      7.66
01:27:57 AM     all     90.71      0.00      1.66      0.00      0.00      7.62
01:27:58 AM     all     84.37      0.00      1.55      0.03      0.00     14.05
01:27:59 AM     all     89.82      0.00      2.61      0.00      0.00      7.58
01:28:00 AM     all     86.65      0.00      6.12      0.00      0.00      7.23
01:28:01 AM     all     90.89      0.00      1.36      0.06      0.00      7.70
01:28:02 AM     all     90.41      0.00      1.52      0.00      0.00      8.06
01:28:03 AM     all     84.74      0.00      1.41      0.06      0.00     13.79
01:28:04 AM     all     92.11      0.00      1.40      0.03      0.00      6.46
01:28:05 AM     all     88.57      0.00      5.19      0.00      0.00      6.25
01:28:06 AM     all     90.04      0.00      3.42      0.01      0.00      6.52
01:28:07 AM     all     91.82      0.00      1.46      0.01      0.00      6.71
01:28:08 AM     all     84.63      0.00      1.52      0.00      0.00     13.85
01:28:09 AM     all     92.00      0.00      1.53      0.04      0.00      6.43
01:28:10 AM     all     91.64      0.00      1.61      0.03      0.00      6.72
01:28:11 AM     all     86.78      0.00      7.23      0.00      0.00      6.00
01:28:12 AM     all     91.60      0.00      1.53      0.04      0.00      6.83
01:28:13 AM     all     85.67      0.00      1.29      0.04      0.00     13.01
01:28:14 AM     all     91.90      0.00      1.53      0.00      0.00      6.57
01:28:15 AM     all     92.09      0.00      1.55      0.03      0.00      6.33
01:28:16 AM     all     91.93      0.00      1.64      0.03      0.00      6.40
01:28:17 AM     all     86.72      0.00      7.01      0.00      0.00      6.27
01:28:18 AM     all     86.32      0.00      1.50      0.04      0.00     12.14
01:28:19 AM     all     91.98      0.00      0.92      0.00      0.00      7.10
01:28:20 AM     all     91.46      0.00      0.84      0.00      0.00      7.71
01:28:21 AM     all     91.45      0.00      0.94      0.01      0.00      7.60
