Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

08:31:50 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:31:51 AM     all      0.61      0.00     55.73      0.00      0.00     43.65
08:31:52 AM     all     31.09      0.00      3.40      0.00      0.00     65.51
08:31:53 AM     all     16.88      0.00      0.84      0.00      0.00     82.28
08:31:54 AM     all     26.23      0.00      0.95      0.00      0.00     72.83
08:31:55 AM     all     11.29      0.00      0.29      0.01      0.00     88.40
08:31:56 AM     all     11.13      0.00      0.25      0.00      0.00     88.62
08:31:57 AM     all     13.12      0.00      3.15      0.00      0.00     83.73
08:31:58 AM     all     11.07      0.00      0.32      0.00      0.00     88.61
08:31:59 AM     all      3.46      0.00      0.42      0.00      0.00     96.12
08:32:00 AM     all      2.66      0.00      0.26      0.01      0.00     97.07
08:32:01 AM     all      3.14      0.00      0.25      0.00      0.00     96.60
08:32:02 AM     all      3.31      0.00      0.57      0.00      0.00     96.12
08:32:03 AM     all      4.59      0.00      3.04      0.00      0.00     92.37
08:32:04 AM     all      2.92      0.00      0.25      0.00      0.00     96.83
08:32:05 AM     all      2.35      0.00      0.31      0.01      0.00     97.33
08:32:06 AM     all     21.38      0.00      0.33      0.00      0.00     78.28
08:32:07 AM     all     14.36      0.00      0.47      0.00      0.00     85.17
08:32:08 AM     all     12.22      0.00      3.24      0.00      0.00     84.53
08:32:09 AM     all     11.75      0.00      0.47      0.01      0.00     87.77
08:32:10 AM     all     11.15      0.00      0.39      0.01      0.00     88.45
08:32:11 AM     all     11.20      0.00      0.36      0.01      0.00     88.42
08:32:12 AM     all     10.69      0.00      0.39      0.00      0.00     88.92
08:32:13 AM     all      3.76      0.00      2.49      0.00      0.00     93.75
08:32:14 AM     all      3.40      0.00      0.58      0.00      0.00     96.02
08:32:15 AM     all      3.24      0.00      0.26      0.01      0.00     96.48
08:32:16 AM     all      3.02      0.00      0.07      0.01      0.00     96.90
08:32:17 AM     all      2.10      0.00      0.15      0.00      0.00     97.75
08:32:18 AM     all      3.17      0.00      0.03      0.00      0.00     96.80
