Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:20:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:20:58 AM     all      0.71      0.00     68.18      0.03      0.00     31.08
01:20:59 AM     all      2.60      0.00     20.24      0.03      0.00     77.13
01:21:00 AM     all      9.21      0.00      0.60      0.04      0.00     90.15
01:21:01 AM     all      2.59      0.00      0.60      0.03      0.00     96.79
01:21:02 AM     all      1.06      0.00     47.20      0.04      0.00     51.70
01:21:03 AM     all      2.66      0.00     72.24      0.06      0.00     25.05
01:21:04 AM     all      2.87      0.00     30.87      0.03      0.00     66.24
01:21:05 AM     all      9.96      0.00      0.95      0.08      0.00     89.01
01:21:06 AM     all      2.97      0.00      0.50      0.11      0.00     96.42
01:21:07 AM     all      1.20      0.00     46.06      0.11      0.00     52.63
01:21:08 AM     all      1.16      0.00     68.07      0.11      0.00     30.66
01:21:09 AM     all      6.09      0.00     32.86      0.20      0.00     60.85
01:21:10 AM     all      9.90      0.00      0.84      0.10      0.00     89.17
01:21:11 AM     all      2.76      0.00      0.46      0.07      0.00     96.71
01:21:12 AM     all      2.68      0.00      0.92      0.46      0.00     95.94


Average:        all      3.89      0.00     26.00      0.10      0.00     70.01
