Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:23:52 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:23:53 AM     all      0.43      0.00     67.92      1.74      0.00     29.91
01:23:54 AM     all      3.78      0.00      7.67      1.77      0.00     86.78
01:23:55 AM     all      4.30      0.00      3.46      1.85      0.00     90.39
01:23:56 AM     all      2.27      0.00      0.54      2.07      0.00     95.12
01:23:57 AM     all      1.89      0.00      0.64      1.86      0.00     95.61
01:23:58 AM     all      2.24      0.00      0.43      1.71      0.00     95.62
01:23:59 AM     all      2.10      0.00      0.56      1.77      0.00     95.58
01:24:00 AM     all      2.30      0.00      1.13      1.88      0.00     94.69
01:24:01 AM     all      3.04      0.00      2.64      1.74      0.00     92.58
01:24:02 AM     all      2.35      0.00      0.53      1.84      0.00     95.29
01:24:03 AM     all      1.93      0.00      0.57      1.93      0.00     95.56
01:24:04 AM     all      2.19      0.00      0.47      1.92      0.00     95.42
01:24:05 AM     all      1.84      0.00      0.43      1.90      0.00     95.83
01:24:06 AM     all      3.55      0.00      3.47      1.80      0.00     91.17
01:24:07 AM     all      1.96      0.00      0.60      2.01      0.00     95.43
01:24:08 AM     all      1.82      0.00      0.39      1.91      0.00     95.88
01:24:09 AM     all      2.77      0.00      0.64      1.92      0.00     94.67
01:24:10 AM     all      1.97      0.00      0.45      2.07      0.00     95.51
01:24:11 AM     all      3.53      0.00      3.20      1.91      0.00     91.36
01:24:12 AM     all      1.96      0.00      0.45      1.84      0.00     95.75
01:24:13 AM     all      2.32      0.00      0.49      2.02      0.00     95.17
01:24:14 AM     all      2.06      0.00      0.17      2.06      0.00     95.72
01:24:15 AM     all      1.53      0.00      0.13      1.91      0.00     96.44
01:24:16 AM     all      1.77      0.00      0.21      1.88      0.00     96.15
01:24:17 AM     all      3.20      0.00      2.75      1.79      0.00     92.26
01:24:18 AM     all      1.59      0.00      0.13      1.88      0.00     96.41
01:24:19 AM     all      1.86      0.00      0.11      1.99      0.00     96.04
01:24:20 AM     all      1.67      0.00      0.24      1.98      0.00     96.12
01:24:21 AM     all      1.91      0.00      0.24      1.91      0.00     95.95
01:24:22 AM     all      3.37      0.00      3.09      1.83      0.00     91.71
01:24:23 AM     all      1.76      0.00      0.19      1.92      0.00     96.13
01:24:24 AM     all      2.46      0.00      0.47      1.96      0.00     95.11
01:24:25 AM     all      1.57      0.00     10.62      1.99      0.00     85.82
01:24:26 AM     all      0.28      0.00     67.01      1.92      0.00     30.79
01:24:27 AM     all      1.11      0.00     60.83      1.95      0.00     36.11
01:24:28 AM     all      3.79      0.00      2.05      1.74      0.00     92.41
01:24:29 AM     all      2.81      0.00      0.25      1.92      0.00     95.03
01:24:30 AM     all      1.91      0.00      0.11      1.93      0.00     96.05
01:24:31 AM     all      2.01      0.00      0.13      1.91      0.00     95.96
01:24:32 AM     all      1.74      0.00      0.07      1.79      0.00     96.40
01:24:33 AM     all      3.36      0.00      3.05      1.73      0.00     91.86
01:24:34 AM     all      1.92      0.00      0.11      1.72      0.00     96.24
01:24:35 AM     all      1.88      0.00      0.14      1.75      0.00     96.23
01:24:36 AM     all      1.72      0.00      0.19      1.85      0.00     96.23
01:24:37 AM     all      1.76      0.00      0.15      1.86      0.00     96.22
01:24:38 AM     all      3.22      0.00      2.93      1.64      0.00     92.21
01:24:39 AM     all      2.38      0.00      0.28      1.81      0.00     95.53
01:24:40 AM     all      1.66      0.00      0.01      2.07      0.00     96.26
01:24:41 AM     all      1.72      0.00      0.15      2.25      0.00     95.87
01:24:42 AM     all      1.64      0.00      0.15      1.93      0.00     96.28
01:24:43 AM     all      2.03      0.00      0.43      1.91      0.00     95.63
01:24:44 AM     all      2.99      0.00      2.55      1.90      0.00     92.56
01:24:45 AM     all      2.14      0.00      0.36      1.87      0.00     95.63
01:24:46 AM     all      1.86      0.00      0.49      1.86      0.00     95.78
01:24:47 AM     all      1.85      0.00      0.45      1.89      0.00     95.81
01:24:48 AM     all      2.00      0.00      0.49      1.79      0.00     95.72
01:24:49 AM     all      3.58      0.00      3.44      1.92      0.00     91.06
01:24:50 AM     all      1.79      0.00      0.75      1.95      0.00     95.51
01:24:51 AM     all      2.07      0.00      0.53      2.10      0.00     95.30
01:24:52 AM     all      1.77      0.00      0.51      1.98      0.00     95.74
01:24:53 AM     all      1.85      0.00      0.42      1.80      0.00     95.93
01:24:54 AM     all      4.32      0.00      3.87      1.87      0.00     89.93
01:24:55 AM     all      1.96      0.00      0.60      1.90      0.00     95.54
01:24:56 AM     all      1.76      0.00      0.45      2.04      0.00     95.76
01:24:57 AM     all      1.85      0.00      0.61      2.06      0.00     95.48
01:24:58 AM     all      1.86      0.00      0.67      2.20      0.00     95.27
01:24:59 AM     all      1.73      0.00     13.31      2.05      0.00     82.92
01:25:00 AM     all      2.92      0.00     72.78      1.39      0.00     22.91
01:25:01 AM     all      0.75      0.00     60.79      1.73      0.00     36.73
01:25:02 AM     all      2.99      0.00      0.54      2.03      0.00     94.44
01:25:03 AM     all      3.00      0.00      0.68      1.89      0.00     94.42
01:25:04 AM     all      2.33      0.00      0.46      1.88      0.00     95.33
01:25:05 AM     all      2.56      0.00      0.47      1.81      0.00     95.16
01:25:06 AM     all      3.70      0.00      3.40      2.00      0.00     90.89
