Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

02:11:11 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:11:12 AM     all      1.16      0.00      2.25      0.00      0.00     96.59
02:11:13 AM     all      0.63      0.00     49.22      0.00      0.00     50.15
02:11:14 AM     all      0.88      0.00     67.58      0.00      0.00     31.54
02:11:15 AM     all      2.08      0.00     17.22      0.00      0.00     80.69
02:11:16 AM     all      1.92      0.00      0.38      0.00      0.00     97.71
02:11:17 AM     all      3.39      0.00      3.60      0.00      0.00     93.01
02:11:18 AM     all      1.72      0.00     20.09      0.00      0.00     78.19
02:11:19 AM     all      0.85      0.00     67.53      0.00      0.00     31.62
02:11:20 AM     all      0.79      0.00     51.24      0.00      0.00     47.96
02:11:21 AM     all      2.47      0.00      0.38      0.01      0.00     97.14
02:11:22 AM     all      3.42      0.00      3.21      0.00      0.00     93.37
02:11:23 AM     all      1.77      0.00      0.31      0.00      0.00     97.93
02:11:24 AM     all      1.77      0.00     55.11      0.01      0.00     43.11
02:11:25 AM     all      0.63      0.00     67.46      0.00      0.00     31.91
02:11:26 AM     all      2.20      0.00     16.44      0.01      0.00     81.34
02:11:27 AM     all      2.02      0.00      0.58      0.00      0.00     97.40
02:11:28 AM     all      3.13      0.00      2.81      0.00      0.00     94.06
02:11:29 AM     all      1.61      0.00      0.36      0.00      0.00     98.02


Average:        all      1.80      0.00     23.67      0.00      0.00     74.53
