Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:33:43 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:33:44 AM     all      0.61      0.00     60.24      0.00      0.00     39.15
01:33:45 AM     all      6.49      0.00      0.58      0.00      0.00     92.93
01:33:46 AM     all     41.37      0.00      4.83      0.00      0.00     53.80
01:33:47 AM     all     21.79      0.00      0.74      0.00      0.00     77.47
01:33:48 AM     all     31.63      0.00      0.76      0.00      0.00     67.61
01:33:49 AM     all     31.33      0.00      0.65      0.00      0.00     68.01
01:33:50 AM     all     29.14      0.00      0.82      0.00      0.00     70.04
01:33:51 AM     all     21.24      0.00      2.29      0.00      0.00     76.47
01:33:52 AM     all     28.32      0.00      1.81      0.00      0.00     69.87
01:33:53 AM     all     22.87      0.00      0.70      0.00      0.00     76.43
01:33:54 AM     all     20.30      0.00      1.01      0.01      0.00     78.68
01:33:55 AM     all     23.29      0.00      0.88      0.00      0.00     75.83
01:33:56 AM     all     23.72      0.00      2.12      0.00      0.00     74.16
01:33:57 AM     all     34.90      0.00      3.74      0.00      0.00     61.36
01:33:58 AM     all     27.78      0.00      0.77      0.00      0.00     71.46
01:33:59 AM     all     24.26      0.00      0.78      0.00      0.00     74.97
01:34:00 AM     all     21.92      0.00      0.72      0.01      0.00     77.34
01:34:01 AM     all     24.32      0.00      0.86      0.00      0.00     74.82
01:34:02 AM     all     21.41      0.00      3.63      0.00      0.00     74.96
01:34:03 AM     all     25.23      0.00     40.08      0.01      0.00     34.68
01:34:04 AM     all      0.92      0.00     68.00      0.01      0.00     31.06
01:34:05 AM     all      2.14      0.00     34.87      0.01      0.00     62.97
01:34:06 AM     all     40.17      0.00      0.95      0.01      0.00     58.87
01:34:07 AM     all     30.18      0.00      0.95      0.01      0.00     68.86
01:34:08 AM     all     25.07      0.00      3.19      0.07      0.00     71.67
01:34:09 AM     all     24.43      0.00      0.81      0.04      0.00     74.72
01:34:10 AM     all     23.82      0.00      0.18      0.01      0.00     75.98
01:34:11 AM     all     20.23      0.00      0.25      0.00      0.00     79.52
01:34:12 AM     all     37.41      0.00      1.82      0.00      0.00     60.78
01:34:13 AM     all     24.82      0.00      3.07      0.00      0.00     72.11
01:34:14 AM     all     22.75      0.00      0.21      0.00      0.00     77.04
01:34:15 AM     all     21.34      0.00      0.28      0.01      0.00     78.36
01:34:16 AM     all     30.66      0.00      0.28      0.00      0.00     69.06
01:34:17 AM     all     37.99      0.00      0.29      0.00      0.00     61.71
01:34:18 AM     all     25.03      0.00      1.42      0.00      0.00     73.54
01:34:19 AM     all     28.32      0.00      1.96      0.00      0.00     69.73
01:34:20 AM     all     27.23      0.00      0.96      0.01      0.00     71.79
01:34:21 AM     all     21.98      0.00      0.11      0.00      0.00     77.91
01:34:22 AM     all     25.99      0.00      0.18      0.00      0.00     73.83
01:34:23 AM     all     21.35      0.00     44.93      0.00      0.00     33.72
01:34:24 AM     all      2.84      0.00     71.06      0.00      0.00     26.09
01:34:25 AM     all      2.64      0.00     24.89      0.01      0.00     72.46
01:34:26 AM     all     54.12      0.00      0.39      0.00      0.00     45.49
01:34:27 AM     all     29.23      0.00      0.22      0.00      0.00     70.55
01:34:28 AM     all     22.25      0.00      0.18      0.00      0.00     77.57
01:34:29 AM     all     23.16      0.00      0.14      0.00      0.00     76.70
01:34:30 AM     all     22.65      0.00      3.01      0.01      0.00     74.33
01:34:31 AM     all     32.59      0.00      0.15      0.00      0.00     67.26
01:34:32 AM     all     28.06      0.00      0.39      0.00      0.00     71.55
01:34:33 AM     all     17.50      0.00      0.35      0.00      0.00     82.15
01:34:34 AM     all     21.53      0.00      0.40      0.00      0.00     78.06
01:34:35 AM     all     24.04      0.00      2.02      0.03      0.00     73.91
01:34:36 AM     all     34.32      0.00      2.24      0.00      0.00     63.43
01:34:37 AM     all     20.67      0.00      0.29      0.00      0.00     79.04
01:34:38 AM     all     20.93      0.00      0.35      0.00      0.00     78.72
01:34:39 AM     all     19.21      0.00      0.56      0.00      0.00     80.24
01:34:40 AM     all     34.16      0.00      0.43      0.00      0.00     65.41
01:34:41 AM     all     24.32      0.00      3.06      0.00      0.00     72.63
01:34:42 AM     all     20.21      0.00      0.36      0.00      0.00     79.43
01:34:43 AM     all      0.42      0.00      0.18      0.00      0.00     99.40


Average:        all     23.81      0.00      6.71      0.01      0.00     69.47
