Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/11/2025 	_aarch64_	(72 CPU)

01:16:14 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:16:15 AM     all      1.84      0.00     69.99      0.01      0.00     28.15
01:16:16 AM     all     12.29      0.00     20.45      0.00      0.00     67.26
01:16:17 AM     all     56.22      0.00     23.36      0.00      0.00     20.42
01:16:18 AM     all      0.19      0.00     67.45      0.00      0.00     32.36
01:16:19 AM     all      1.07      0.00     45.29      0.00      0.00     53.64
01:16:20 AM     all     64.70      0.00      1.74      0.00      0.00     33.56
01:16:21 AM     all      4.97      0.00     67.11      0.00      0.00     27.92
01:16:22 AM     all      0.18      0.00     67.00      0.00      0.00     32.82
01:16:23 AM     all     32.76      0.00      5.56      0.00      0.00     61.68
01:16:24 AM     all     37.59      0.00     36.25      0.00      0.00     26.17


Average:        all     21.15      0.00     40.43      0.00      0.00     38.42
